frequency_hz,row,column,identified_real,identified_imag,identified_magnitude,identified_phase_deg,linearized_real,linearized_imag,linearized_magnitude,linearized_phase_deg,magnitude_relative_error,phase_error_deg,voltage_matrix_condition_number,maximum_harmonic_residual_ratio,solver_method,passed
0.2,0,0,1.4689041326004149,-0.027160458530161014,1.469155213474106,-1.0592946792596187,1.4689045317954121,-0.027167191229794396,1.469155737084539,-1.0595569159284655,3.564022654610084e-07,0.0002622366688465773,3.068815698659923,0.00011461554236093433,BDF,True
0.2,0,1,0.2650505942084288,0.23340310525403238,0.35316968589116776,41.367091045409694,0.2650557738405211,0.2333810957474772,0.3531590280574611,41.363855851013504,3.0178567897038665e-05,0.0032351943961947006,3.068815698659923,0.00011461554236093433,BDF,True
0.2,1,0,-6.339796816365012,-0.06352235932086339,6.340115043350998,-179.42593723249428,-6.339796120872057,-0.06352412202406525,6.340114365553929,-179.42592124072678,1.0690612661814021e-07,1.5991767475885002e-05,3.068815698659923,0.00011461554236093433,BDF,True
0.2,1,1,-1.473941313168717,0.050972931042658126,1.4748224416398745,178.0193442300225,-1.4739396384807255,0.0509670979859739,1.4748205663611433,178.01956845630795,1.2715300926663044e-06,0.00022422628545095202,3.068815698659923,0.00011461554236093433,BDF,True
2.0,0,0,3.4887801596857795,-0.5988055442318403,3.5397959097128644,-9.739207753823903,3.4896177689754437,-0.5975017109204528,3.5404011733279637,-9.716118299516994,0.00017095904827370915,0.02308945430690992,2.8058719581344276,0.0007595352066524712,BDF,True
2.0,0,1,-5.437685647879924,2.805114411414408,6.118585789729854,152.7123522882378,-5.438730037994871,2.8035437820960993,6.118794175678521,152.72990634807417,3.405670180815637e-05,0.01755405983635126,2.8058719581344276,0.0007595352066524712,BDF,True
2.0,1,0,-6.534190404359776,-0.8078134328819055,6.58393550870388,-172.95235788017706,-6.534275385864907,-0.8079155528711448,6.584032378329489,-172.9515666588901,1.4712811244335172e-05,0.0007912212869535428,2.8058719581344276,0.0007595352066524712,BDF,True
2.0,1,1,-1.8808606875442948,0.3191826854885029,1.9077511663383278,170.36864288414787,-1.880744488770136,0.3191939970426389,1.9076384981928038,170.36772402154452,5.9061580918199384e-05,0.0009188626033795007,2.8058719581344276,0.0007595352066524712,BDF,True
20.0,0,0,1.4152816872819076,-1.205325749949236,1.8589869332101858,-40.41940193962924,1.4152810403262148,-1.2053257667548298,1.8589864515670822,-40.419415262492514,2.5908908761358495e-07,1.3322863281047515e-05,1.7042246147865074,5.731983300848224e-06,Radau,True
20.0,0,1,0.2531387300370286,-0.7565130232411246,0.7977412932637911,-71.4991136501162,0.2531377656227016,-0.7565160075147604,0.7977438172812917,-71.49924735015445,3.1639449230232188e-06,0.00013370003825118168,1.7042246147865074,5.731983300848224e-06,Radau,True
20.0,1,0,-0.30001769862677063,0.7857401878498429,0.8410697130985102,110.89826245596758,-0.3000185366937547,0.785740332695207,0.8410701473621784,110.8983122717021,5.163227701286186e-07,4.981573450152779e-05,1.7042246147865074,5.731983300848224e-06,Radau,True
20.0,1,1,1.4040150045286017,-1.1966810952170082,1.8448045361477263,-40.44187942857515,1.4040133251495444,-1.1966832796462958,1.8448046750218559,-40.44196489574735,7.52785005544273e-08,8.546717219647832e-05,1.7042246147865074,5.731983300848224e-06,Radau,True
