scr,x_by_r,source_resistance_pu,source_reactance_pu,damping_mathworks_pu_per_hz,damping_team_native_pu_per_pu_frequency,external_vendor_outcome,team_pre_step_stability,team_post_step_stability,classification_agreement,team_pre_step_dominant_real_per_s,team_pre_step_frequency_hz,team_post_step_dominant_real_per_s,team_post_step_frequency_hz
2.5,5.0,0.07844645405527362,0.3922322702763681,0.6,30.0,Stable,stable,stable,True,-0.3920424283003864,1.8217195711859904,-0.4532559455740164,1.802210892843266
2.5,5.0,0.07844645405527362,0.3922322702763681,1.056,52.800000000000004,Stable,stable,stable,True,-2.6807942586790894,1.5446139200579847,-2.7267306074446394,1.5231496790086843
2.5,5.0,0.07844645405527362,0.3922322702763681,2.0,100.0,Stable,stable,stable,True,-4.29395587654075,1.0266200243375885,-4.308506765064428,1.0058685665285758
2.5,5.0,0.07844645405527362,0.3922322702763681,4.0,200.0,Stable,stable,stable,True,-4.771877555659774,0.44042160627033156,-4.774412859061085,0.41652216389082175
5.0,5.0,0.03922322702763681,0.19611613513818404,0.6,30.0,Unstable,unstable,unstable,True,1.0524856738995552,2.2697503609912775,1.035243669029064,2.2639797003263955
5.0,5.0,0.03922322702763681,0.19611613513818404,1.056,52.800000000000004,Unstable,stable,stable,False,-1.2902048435345526,6.612129031774034,-1.319512739300805,6.609114548413201
5.0,5.0,0.03922322702763681,0.19611613513818404,2.0,100.0,Stable,stable,stable,True,-1.0472852035186597,6.640702550167546,-1.0731266828116444,6.638550847717877
5.0,5.0,0.03922322702763681,0.19611613513818404,4.0,200.0,Stable,stable,stable,True,-0.9700934028167421,6.683949281171271,-0.9964001978926573,6.68271940156541
