impedance_scale_kappa,SCR,damping_D,maximum_real_pole_Hz,dominant_oscillation_frequency_Hz,closed_loop_reference,sampled_criterion_status,final_classification,gain_pass_count,gain_fail_count,gain_indeterminate_count,phase_pass_count,phase_fail_count,phase_indeterminate_count,uncovered_frequency_count,indeterminate_frequency_count,converter_phase_seed_frequency_Hz,network_phase_seed_frequency_Hz,maximum_transformation_condition,maximum_interconnection_residual
0.6,1.49071198499986,0.25,-0.166984763803854,0.672708350296782,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,48,73,0,112,9,0,3,0,0.001,0.001,19.3298529856282,4.30959644903628e-16
0.6,1.49071198499986,0.3,-0.20919190703219,0.655687287148396,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,47,74,0,121,0,0,0,0,0.001,0.001,19.3298529856282,1.01557130079128e-15
0.6,1.49071198499986,0.35,-0.25003586278523,0.635231521375249,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,47,74,0,121,0,0,0,0,0.001,0.001,19.3298529856282,6.44243759996762e-16
0.6,1.49071198499986,0.4,-0.289205970487088,0.611299475602076,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,46,75,0,121,0,0,0,0,0.001,0.001,19.3298529856282,9.13561635002817e-16
0.6,1.49071198499986,0.45,-0.32632479695507,0.583884882717361,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,46,75,0,121,0,0,0,0,0.001,0.001,19.3298529856282,8.40290175988182e-16
0.6,1.49071198499986,0.5,-0.360950167515652,0.553049709034882,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,45,76,0,121,0,0,0,0,0.001,0.001,19.3298529856282,7.68068262989399e-16
0.7,1.27775312999988,0.04,0.0233774935671271,0.666826875918394,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,48,73,0,65,52,4,8,0,0.00170306502925284,0.001,19.3298529856282,1.15450272198612e-15
0.7,1.27775312999988,0.05,0.0142984812681413,0.666423625960805,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,48,73,0,65,51,5,8,0,0.00196922025547917,0.001,19.3298529856282,9.36396883146376e-16
0.7,1.27775312999988,0.06,0.00524473740489272,0.665881223157469,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,48,73,0,65,50,6,8,0,0.00224052786930002,0.001,19.3298529856282,1.28225627125587e-15
0.7,1.27775312999988,0.08,-0.0127830396368491,0.664379835944052,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,48,73,0,66,49,6,7,0,0.00224052786930002,0.001,19.3298529856282,7.36284305345494e-16
0.7,1.27775312999988,0.1,-0.0306975598738313,0.662323956637515,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,48,73,0,66,50,5,7,0,0.00196922025547917,0.001,19.3298529856282,1.2580725790613e-15
0.7,1.27775312999988,0.12,-0.0484897430952837,0.65971406221727,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,48,73,0,66,55,0,7,0,0.001,0.001,19.3298529856282,9.58738172912566e-16
0.7,1.27775312999988,0.14,-0.0661496215183605,0.656549942314333,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,48,73,0,88,33,0,7,0,0.001,0.001,19.3298529856282,5.61741445695672e-16
0.7,1.27775312999988,0.16,-0.08366624674839,0.652830782660472,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,48,73,0,94,27,0,7,0,0.001,0.001,19.3298529856282,7.82454469032865e-16
0.7,1.27775312999988,0.18,-0.101027588686912,0.648555257235329,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,98,23,0,7,0,0.001,0.001,19.3298529856282,8.17325629774668e-16
0.7,1.27775312999988,0.2,-0.118220426674745,0.643721632785526,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,101,20,0,7,0,0.001,0.001,19.3298529856282,5.99593347588149e-16
0.7,1.27775312999988,0.25,-0.160366439140972,0.629182322233611,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,108,13,0,6,0,0.001,0.001,19.3298529856282,4.58591545831832e-16
0.7,1.27775312999988,0.3,-0.201096045847884,0.611110074241523,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,46,75,0,121,0,0,0,0,0.001,0.001,19.3298529856282,6.39564693244584e-16
0.7,1.27775312999988,0.35,-0.240073299392772,0.589487735069413,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,46,75,0,121,0,0,0,0,0.001,0.001,19.3298529856282,6.83725069566444e-16
0.7,1.27775312999988,0.4,-0.276886646371328,0.564342084358294,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,45,76,0,121,0,0,0,0,0.001,0.001,19.3298529856282,1.07231798471613e-15
0.7,1.27775312999988,0.45,-0.311051498238251,0.535785302860563,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,45,76,0,121,0,0,0,0,0.001,0.001,19.3298529856282,7.86294367548917e-16
0.7,1.27775312999988,0.5,-0.342035908119372,0.504065899083443,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,44,77,0,121,0,0,0,0,0.001,0.001,19.3298529856282,4.52319978129044e-16
0.8,1.11803398874989,0.04,0.025929305967861,0.632733331855346,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,48,73,0,65,52,4,8,0,0.00170306502925284,0.001,19.3298529856282,9.10589385271918e-16
0.8,1.11803398874989,0.05,0.0169500353141731,0.63227753390157,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,48,73,0,65,51,5,8,0,0.00196922025547917,0.001,19.3298529856282,9.08222651069001e-16
0.8,1.11803398874989,0.06,0.00800043940775129,0.631675612671374,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,48,73,0,65,50,6,8,0,0.00224052786930002,0.001,19.3298529856282,1.13220663317729e-15
0.8,1.11803398874989,0.08,-0.00980487498853831,0.630034465401395,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,65,50,6,9,0,0.00224052786930002,0.001,19.3298529856282,1.09073940895553e-15
0.8,1.11803398874989,0.1,-0.0274763218762133,0.627811484010509,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,66,50,5,8,0,0.00196922025547917,0.001,19.3298529856282,1.09694122680721e-15
0.8,1.11803398874989,0.12,-0.0450025374026025,0.625007481536102,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,66,55,0,8,0,0.001,0.001,19.3298529856282,1.01516345330643e-15
0.8,1.11803398874989,0.14,-0.0623709960146753,0.621622605882352,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,87,34,0,8,0,0.001,0.001,19.3298529856282,9.88099964810024e-16
0.8,1.11803398874989,0.16,-0.0795678876855812,0.617656467495944,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,93,28,0,8,0,0.001,0.001,19.3298529856282,9.59819970336577e-16
0.8,1.11803398874989,0.18,-0.096577986259843,0.61310828415061,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,97,24,0,7,0,0.001,0.001,19.3298529856282,8.7030261133572e-16
0.8,1.11803398874989,0.2,-0.113384510437063,0.607977048694527,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,100,21,0,7,0,0.001,0.001,19.3298529856282,9.76115328662191e-16
0.8,1.11803398874989,0.25,-0.154384337430201,0.592591890962251,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,106,15,0,7,0,0.001,0.001,19.3298529856282,5.97734133156644e-16
0.8,1.11803398874989,0.3,-0.19364943001633,0.573552305806112,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,45,76,0,121,0,0,0,0,0.001,0.001,19.3298529856282,9.39278803669431e-16
0.8,1.11803398874989,0.35,-0.230755021798345,0.550895105456045,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,45,76,0,121,0,0,0,0,0.001,0.001,19.3298529856282,9.88951389821365e-16
0.8,1.11803398874989,0.4,-0.265192556582416,0.524744573652533,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,44,77,0,121,0,0,0,0,0.001,0.001,19.3298529856282,8.12180466669163e-16
0.8,1.11803398874989,0.45,-0.296393222235761,0.495371980819607,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,43,78,0,121,0,0,0,0,0.001,0.001,19.3298529856282,8.05639709648971e-16
0.8,1.11803398874989,0.5,-0.323793801277347,0.463253925652581,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,43,78,0,121,0,0,0,0,0.001,0.001,19.3298529856282,6.05912704616002e-16
0.9,0.993807989999906,0.04,0.0280983783378405,0.603738098250132,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,47,74,0,65,52,4,9,0,0.00170306502925284,0.001,19.3298529856282,6.65425935989872e-16
0.9,0.993807989999906,0.05,0.0192111375819306,0.603230050526812,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,47,74,0,65,51,5,9,0,0.00196922025547917,0.001,19.3298529856282,9.48189707565743e-16
0.9,0.993807989999906,0.06,0.0103579257489661,0.602569352717393,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,47,74,0,65,50,6,9,0,0.00224052786930002,0.001,19.3298529856282,1.21216724107468e-15
0.9,0.993807989999906,0.08,-0.00724056529139354,0.600791273283132,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,65,50,6,9,0,0.00224052786930002,0.001,19.3298529856282,1.13505424419168e-15
0.9,0.993807989999906,0.1,-0.0246846390780162,0.598405846287222,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,66,50,5,8,0,0.00196922025547917,0.001,19.3298529856282,9.92607597747356e-16
0.9,0.993807989999906,0.12,-0.0419605231879667,0.595414289843814,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,66,55,0,8,0,0.001,0.001,19.3298529856282,1.10455640370311e-15
0.9,0.993807989999906,0.14,-0.0590529853801933,0.591817217081032,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,86,35,0,8,0,0.001,0.001,19.3298529856282,1.0735711076901e-15
0.9,0.993807989999906,0.16,-0.0759451803389973,0.587614820201898,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,92,29,0,9,0,0.001,0.001,19.3298529856282,1.07953793012402e-15
0.9,0.993807989999906,0.18,-0.0926184884751089,0.582807083067605,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,96,25,0,9,0,0.001,0.001,19.3298529856282,1.02601337248151e-15
0.9,0.993807989999906,0.2,-0.109052350630506,0.57739403083701,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,99,22,0,8,0,0.001,0.001,19.3298529856282,6.56624490799962e-16
0.9,0.993807989999906,0.25,-0.148935128860982,0.561217323374704,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,45,76,0,105,16,0,8,0,0.001,0.001,19.3298529856282,8.31084960133255e-16
0.9,0.993807989999906,0.3,-0.186755514209665,0.541295165515254,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,45,76,0,115,6,0,5,0,0.001,0.001,19.3298529856282,8.39246059519842e-16
