path_id,factor_name,factor_value,calculation_status,stability,spectral_abscissa_per_s,rightmost_real_per_s,rightmost_imag_per_s,extra_real_per_s,extra_imag_per_s,extra_mode_status,extra_mode_is_rightmost,extra_right_mac,extra_left_mac,extra_normalized_distance,extra_condition_number,extra_right_residual,extra_left_residual,synchronous_real_per_s,synchronous_imag_per_s,algebraic_residual_inf,closed_rhs_residual_inf,active_power_balance_abs_pu
voltage-pi-boundary,voltage_pi,1.0,valid,unstable,4.5864079704820355,4.5864079704820355,35.934112413708704,4.5864079704820355,35.934112413708704,matched,True,1.0,1.0,0.0,54.02699837761335,2.2984932684726863e-16,1.439117995599358e-17,-1.1398439405460405,14.89752800345711,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.414213562373095,valid,unstable,1.5987913022064513,1.5987913022064513,44.77513628495785,1.5987913022064513,44.77513628495785,matched,True,0.9971673187624813,0.9963288021210289,0.25761266324674864,54.02699837761335,2.2984932684726863e-16,2.872624567285441e-17,-1.1552026908103619,14.768504786498967,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.5422108254079407,valid,unstable,0.6508528501684214,0.6508528501684214,47.36219732242321,0.6508528501684214,47.36219732242321,matched,True,0.9986727113315617,0.9982785218253222,0.1708118716486434,54.02699837761335,4.264953483791823e-16,1.757459683246815e-17,-1.156193706545817,14.737706756543842,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.6104903319492543,valid,unstable,0.14326933591541025,0.14326933591541025,48.72034493202006,0.14326933591541025,48.72034493202006,matched,True,0.9983543350355596,0.9978662643876494,0.19170487027920682,54.02699837761335,4.1336132286171046e-16,1.947707404550533e-17,-1.156448104725234,14.722824985389105,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.6280274218573478,valid,unstable,0.012781415827984866,0.012781415827984866,49.066893140217324,0.012781415827984866,49.066893140217324,matched,True,0.9982681821782514,0.9977547076106298,0.1970515758561705,54.02699837761335,6.647383400975532e-16,2.1936129356839266e-17,-1.1564904718314042,14.719162874839508,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.629129809193841,valid,unstable,0.004577782283994303,0.004577782283994303,49.08864701877335,0.004577782283994303,49.08864701877335,matched,True,0.9982627084008883,0.9977476197243416,0.19738740961190665,54.02699837761335,4.88414660288449e-16,4.004950391446814e-17,-1.1564928557915732,14.71893478580258,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.6296812827531182,valid,unstable,0.00047383566648395714,0.00047383566648395714,49.0995281496205,0.00047383566648395714,49.0995281496205,matched,True,0.9982599675545959,0.9977440706531548,0.19755540009583086,54.02699837761335,3.905480620330588e-16,3.794911400011438e-17,-1.1564940362856797,14.718820776421191,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.6297157560482185,valid,unstable,0.00021729282294469243,0.00021729282294469243,49.10020830933989,0.00021729282294469243,49.10020830933989,matched,True,0.9982597961636627,0.9977438487223035,0.1975659011059648,54.02699837761335,3.970874613014936e-16,2.5191819094339697e-17,-1.1564941098095556,14.71881365161297,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.6297329929692277,valid,unstable,8.901959523566205e-05,8.901959523566205e-05,49.10054839659051,8.901959523566205e-05,49.10054839659051,matched,True,0.9982597104654692,0.9977437377532088,0.19757115175734682,54.02699837761335,4.816305003132503e-16,4.15720482080228e-17,-1.156494146567809,14.718810089242297,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.629741611498098,valid,unstable,2.4882446133744907e-05,2.4882446133744907e-05,49.100718439117834,2.4882446133744907e-05,49.100718439117834,matched,True,0.9982596676140936,0.9977436822655464,0.1975737770123717,54.02699837761335,6.064270515730491e-16,3.390220657513261e-17,-1.1564941649408325,14.718808308065393,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.6297459207796248,valid,stable,-7.187458606061625e-06,-7.187458606061625e-06,49.10080346310962,-7.187458606061625e-06,49.10080346310962,matched,True,0.9982596461895147,0.9977436545236879,0.19757508974317867,54.02699837761335,7.158995354451193e-16,2.617062403974439e-17,-1.156494174124858,14.718807417480745,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.629750230072546,valid,stable,-3.925551446659625e-05,-3.925551446659625e-05,49.100888486446046,-3.925551446659625e-05,49.100888486446046,matched,True,0.998259624763398,0.9977436267798553,0.19757640239153534,54.02699837761335,4.0017382837552566e-16,1.4579064142883016e-17,-1.1564941833166564,14.71880652689445,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.6298191803089446,valid,stable,-0.0005523700973286694,-0.0005523700973286694,49.1022488627196,-0.0005523700973286694,49.1022488627196,matched,True,0.9982592819301636,0.9977431828501266,0.19759740535529208,54.02699837761335,5.314202541557666e-16,2.6642977527830347e-17,-1.1564943302148656,14.718792277736332,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.6299570895331479,valid,stable,-0.0015786667116888253,-0.0015786667116888253,49.10496975608189,-0.0015786667116888253,49.10496975608189,matched,True,0.9982585961427961,0.9977422948371325,0.19763941384909164,54.02699837761335,4.2503739182076687e-16,3.3074263178312296e-17,-1.1564946236683995,14.718763780517401,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.6302329429906357,valid,stable,-0.0036315259791575016,-0.0036315259791575016,49.11041206608746,-0.0036315259791575016,49.11041206608746,matched,True,0.998257224069253,0.9977405181628302,0.1977234397409389,54.02699837761335,4.672813964384079e-16,3.020133578395024e-17,-1.156495209140598,14.718706790474387,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.6324414519872752,valid,stable,-0.020067174961472034,-0.020067174961472034,49.15397570675925,-0.020067174961472034,49.15397570675925,matched,True,0.9982462237151586,0.997726273982001,0.19839609035955494,54.02699837761335,4.0332984836687823e-16,1.904651497852995e-17,-1.1564998243182032,14.718251081225898,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.6368674497669646,valid,stable,-0.0530066466622392,-0.0530066466622392,49.24123733171851,-0.0530066466622392,49.24123733171851,matched,True,0.9982240959587555,0.9976976209960353,0.19974375411630657,54.02699837761335,2.7296815481259235e-16,1.439117995599358e-17,-1.1565086906590771,14.717340790289642,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.645755478153965,valid,stable,-0.11915867240752843,-0.11915867240752843,49.416299425275575,-0.11915867240752843,49.416299425275575,matched,True,0.9981793301824929,0.9976396537950913,0.202448558612015,54.02699837761335,7.052937640225388e-16,3.171321325424515e-17,-1.1565249837603266,14.715524733858015,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,1.681792830507429,valid,stable,-0.38742429526149635,-0.38742429526149635,50.1237953589164,-0.38742429526149635,50.1237953589164,matched,True,0.9979933752861285,0.9973988512086596,0.2133951787040372,54.02699837761335,4.532696399353357e-16,3.102843474751304e-17,-1.1565716358762934,14.708321448479778,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
voltage-pi-boundary,voltage_pi,2.0,valid,stable,-1.156102977015668,-1.156102977015668,14.654360061237993,-2.7494282098993192,56.22658506747862,matched,False,0.997560078291125,0.9969019697563458,0.2234743668689186,54.02699837761335,7.181015193088688e-16,1.778104687726931e-17,-1.156102977015668,14.654360061237993,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
current-pi-boundary,current_pi,1.0,valid,unstable,4.5864079704820355,4.5864079704820355,35.934112413708704,4.5864079704820355,35.934112413708704,matched,True,1.0,1.0,0.0,54.02699837761335,2.2984932684726863e-16,1.439117995599358e-17,-1.1398439405460405,14.89752800345711,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
current-pi-boundary,current_pi,1.414213562373095,valid,unstable,1.4618650655535577,1.4618650655535577,44.6517229193166,1.4618650655535577,44.6517229193166,matched,True,0.9971855220202787,0.9904396973498315,0.25563792959212195,54.02699837761335,5.290217909511686e-16,1.8175612055017595e-17,-1.1548521776539913,14.76896651228408,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
current-pi-boundary,current_pi,1.5422108254079407,valid,unstable,0.4653224789187995,0.4653224789187995,47.188238018389356,0.4653224789187995,47.188238018389356,matched,True,0.9986813759293941,0.9956875506699759,0.16965337407000833,54.02699837761335,5.616631532790581e-16,2.1611035194670114e-17,-1.1558008796933854,14.738248372391103,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
current-pi-boundary,current_pi,1.5759808451078865,valid,unstable,0.20107987466051203,0.20107987466051203,47.847542984199166,0.20107987466051203,47.847542984199166,matched,True,0.9985283584990499,0.9951640622007776,0.1799125937682909,54.02699837761335,7.641423970527372e-16,3.118261464540301e-17,-1.1559373110119036,14.730778566838586,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
current-pi-boundary,current_pi,1.593142151342267,valid,unstable,0.06663252486212645,0.06663252486212645,48.18109747199091,0.06663252486212645,48.18109747199091,matched,True,0.998448012925691,0.9948878070679356,0.18511393320685995,54.02699837761335,4.442845905307732e-16,1.8276637012294723e-17,-1.1559924227141045,14.727077544960135,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
current-pi-boundary,current_pi,1.597461597908627,valid,unstable,0.0327766015097275,0.0327766015097275,48.26489653093518,0.0327766015097275,48.26489653093518,matched,True,0.9984275205501245,0.9948171995347914,0.18642181115418163,54.02699837761335,3.5318335375125314e-16,1.7104707098773002e-17,-1.1560048918590782,14.726155880123104,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
current-pi-boundary,current_pi,1.599625710912193,valid,unstable,0.01581191749310662,0.01581191749310662,48.30685787681861,0.01581191749310662,48.30685787681861,matched,True,0.9984172130633285,0.9947816621480485,0.1870768863222496,54.02699837761335,3.987665365743468e-16,1.7962668319503443e-17,-1.1560109335676283,14.725695589961726,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
current-pi-boundary,current_pi,1.6007088665784697,valid,unstable,0.007320382873461817,0.007320382873461817,48.32785402620966,0.007320382873461817,48.32785402620966,matched,True,0.998412043962435,0.9947638348760052,0.18740470821745045,54.02699837761335,5.734165135916828e-16,3.0647061266657576e-17,-1.1560139064813912,14.725465580734342,7.19910242530375e-17,1.6342482922482304e-13,8.500145032286355e-17
