damping_D,dominant_pole_real_Hz,dominant_pole_oscillation_Hz,dominant_return_zero_real_Hz,dominant_return_zero_oscillation_Hz
0.05,0.0211544371034783,0.578113296840319,0.02115443710349,0.578113296840336
0.075,-0.000679332143996432,0.576021013871819,-0.000679332143999748,0.576021013871829
0.1,-0.0222457914492682,0.572941553455517,-0.0222457914492709,0.572941553455519
0.125,-0.0435135250247078,0.56887842649514,-0.0435135250247079,0.568878426495137
0.15,-0.0644467767280802,0.563833920707261,-0.0644467767273478,0.563833920706957
0.175,-0.0850048918981294,0.557809892777826,-0.085004891898125,0.557809892777821
0.2,-0.105141750484861,0.550808735932189,-0.105141750484867,0.550808735932202
0.225,-0.124805235238162,0.542834578800021,-0.124805235238082,0.542834578799983
0.25,-0.143936805707239,0.533894772105282,-0.14393680570703,0.533894772105199
0.275,-0.162471285133881,0.52400171130114,-0.162471285133671,0.52400171130106
0.3,-0.180337012167489,0.513175018188537,-0.180337012167397,0.513175018188511
0.325,-0.197456557393303,0.501444052719731,-0.197456557393257,0.501444052719727
0.35,-0.213748242713688,0.488850636959286,-0.213748242713678,0.488850636959284
0.375,-0.229128705088715,0.475451740792397,-0.229128705088715,0.475451740792406
0.4,-0.24351667898541,0.461321712802911,-0.243516678985404,0.461321712802916
0.425,-0.256837995487749,0.446553477927613,-0.256837995487508,0.446553477927592
0.45,-0.26903149298769,0.431258041716291,-0.269031492987689,0.431258041716282
0.475,-0.280055145017531,0.415561739927038,-0.280055145017531,0.415561739927041
0.5,-0.289891360625116,0.399601027552282,-0.289891360625114,0.399601027552286
