case_name,frequency_Hz,Y11_real,Y11_imag,Y12_real,Y12_imag,Y21_real,Y21_imag,Y22_real,Y22_imag
stable,0.1,4.347296792919,-0.345716837762094,3.03535267014075,0.605868435193234,-5.90857982006277,-0.340465457045577,-4.33880877339833,0.580287778425217
stable,0.105011563593534,4.34433247482862,-0.362859458605917,3.03971000180376,0.635985264412373,-5.91121206374657,-0.357368752152533,-4.3349726245301,0.609155345520084
stable,0.110274284883587,4.34106543560904,-0.380832297396975,3.04451280784547,0.667572483484438,-5.91411316539333,-0.375094031960814,-4.33074423712408,0.639435859666976
stable,0.115800750797843,4.3374649712787,-0.399672409714763,3.04980637840694,0.700697641037946,-5.91731040496433,-0.393678531462646,-4.32608372305051,0.671194804915049
stable,0.121604179065866,4.33349730953376,-0.419417993102755,3.05564055279573,0.735430703788527,-5.92083379089091,-0.413160729534536,-4.32094718536416,0.704500108051914
stable,0.127698449832146,4.32912531321119,-0.440108332452699,3.06207016421382,0.771844025820503,-5.92471632428129,-0.433580313939022,-4.31528632590397,0.739422129211791
stable,0.13409813885344,4.32430815734827,-0.461783725306674,3.06915552522106,0.81001229259784,-5.92899428676885,-0.454978129470537,-4.3090480168368,0.776033631411898
stable,0.140818552359825,4.31900097801101,-0.484485383424578,3.07696295703006,0.850012434770138,-5.93370755366952,-0.477396106094948,-4.30217383337878,0.814409724774549
stable,0.147875763662831,4.31315449106809,-0.508255306391409,3.08556536580382,0.891923506037754,-5.93889993411861,-0.500877163433844,-4.29459954485022,0.85462778049757
stable,0.155286651598217,4.30671457913506,-0.533136122383362,3.09504286915879,0.93582651841905,-5.94461953982692,-0.525465087374433,-4.28625456118352,0.89676730883677
stable,0.163068940895331,4.29962184501742,-0.559170890464445,3.10548347604284,0.981804227206072,-5.95091918401737,-0.551204373935253,-4.2770613320172,0.940909794447155
stable,0.171241244569602,4.2918111301587,-0.58640285793521,3.11698382304154,1.02994085668533,-5.95785681196246,-0.578140034777342,-4.2669346955974,0.987138481379265
stable,0.179823108439566,4.28321099687033,-0.614875165291483,3.12964996993793,1.0803217563191,-5.9654959643215,-0.606317357910333,-4.25578117488777,1.0355380988269
stable,0.188835057874883,4.2737431735125,-0.644630490262279,3.14359825697837,1.13303297550998,-5.97390627415402,-0.6357816161931,-4.24349821859356,1.08619451735516
stable,0.198298646887169,4.26332196233824,-0.675710621171698,3.15895622573818,1.18816074328674,-5.98316399803093,-0.666577715159606,-4.22997338526934,1.13919432378505
stable,0.208236509681036,4.25185361044924,-0.708155948499945,3.175863604682,1.24579083723296,-5.99335258104788,-0.698749770503458,-4.21508346934758,1.19462430115532
stable,0.218672414788656,4.23923564528748,-0.742004861996066,3.19447335941252,1.3060078237118,-6.00456325472131,-0.732340604222741,-4.19869356885317,1.25257079820544
stable,0.229631321917304,4.22535617736098,-0.777293039015988,3.21495280611563,1.3688941489056,-6.01689566566687,-0.767391146955929,-4.18065609582637,1.3131189706132
stable,0.241139441645862,4.21009317454713,-0.81405260792604,3.23748478474389,1.43452905737644,-6.03045853156239,-0.803939732431334,-4.16080973214621,1.37635187376441
stable,0.253224298113036,4.19331371441634,-0.852311168435102,3.26226888591319,1.50298731176274,-6.04537031910507,-0.842021268215121,-4.13897833563368,1.44234938412962
stable,0.265914794847249,4.17487322367804,-0.892090648621613,3.28952272217465,1.57433768386989,-6.061759936403,-0.8816662650958,-4.11496980414216,1.51118692338316
stable,0.279241283895634,4.15461471718757,-0.933405976246166,3.31948323009134,1.64864118382342,-6.07976742938107,-0.92289970552101,-4.08857490896445,1.58293395625041
stable,0.293235638417463,4.13236805311262,-0.976263539753074,3.35240798418788,1.7259489901951,-6.09954466821532,-0.965739729561457,-4.05956611348067,1.65765222976296
stable,0.307931328915658,4.10794922600259,-1.02065941226567,3.388576497106,1.8063000401917,-6.12125600538892,-1.01019611500271,-4.02769639875277,1.73539371822913
stable,0.323363503288679,4.08115972582245,-1.06657731001713,3.42829147190337,1.88971823527832,-6.14507888152818,-1.0562685264829,-3.99269812498875,1.81619823492708
stable,0.339569070894269,4.0517859987103,-1.11398625523946,3.4718799620507,1.97620921423838,-6.17120434854592,-1.10394450728169,-3.9542819667349,1.90009066851117
stable,0.356586790826106,4.01959905451804,-1.16283791284574,3.51969438194894,2.06575664300335,-6.1998374715984,-1.15319718666939,-3.91213597062806,1.98707779968885
stable,0.374457364614496,3.98435427732258,-1.21306357067766,3.57211329531274,2.15831796911226,-6.23119756175151,-1.20398267598178,-3.86592479789113,2.07714465230043
