scenario_id,factors_json,damping_coefficient_pu,line_reactance_pu,stability,rightmost_real_per_s,rightmost_imag_per_s,extra_real_per_s,extra_imag_per_s,extra_tracking_status,extra_tracking_reason,extra_path_label,extra_right_mac,extra_left_mac,extra_normalized_distance,synchronous_real_per_s,synchronous_imag_per_s,synchronous_tracking_status,synchronous_tracking_reason,synchronous_path_label,extra_group_participation_json,synchronous_group_participation_json,algebraic_residual_inf,closed_rhs_residual_inf,device_rhs_residual_inf,active_power_balance_abs_pu
baseline,{},60.0,0.1,unstable,4.5864079704820355,35.934112413708704,4.5864079704820355,35.934112413708704,matched,accepted,baseline-self-check,1.0,1.0,0.0,-1.1398439405460405,14.89752800345711,matched,accepted,baseline-self-check,"{""current_pi"": 0.163823261907598, ""lcl"": 0.3771285643743818, ""modulator"": 0.20749138263318456, ""outer"": 0.0868937012167139, ""voltage_pi"": 0.16466308986812175}","{""current_pi"": 0.015193301027888824, ""lcl"": 0.019234349292572228, ""modulator"": 0.029140175714625224, ""outer"": 0.9211707823399173, ""voltage_pi"": 0.015261391624996401}",7.19910242530375e-17,1.6342482922482304e-13,8.242295734817162e-13,8.500145032286355e-17
voltage_pi__0p5,"{""voltage_pi"": 0.5}",60.0,0.1,unstable,7.790607164807294,23.724337864806714,7.790607164807294,23.724337864806714,matched,accepted,voltage_pi,0.9964908086484694,0.9946557365430386,0.2132976941986972,-0.9262582953276266,14.874962077112256,matched,accepted,voltage_pi,"{""current_pi"": 0.175284141475339, ""lcl"": 0.32331737124283005, ""modulator"": 0.18487072046623004, ""outer"": 0.14059733863121035, ""voltage_pi"": 0.17593042818439056}","{""current_pi"": 0.04538722349054648, ""lcl"": 0.09604080937469034, ""modulator"": 0.05772809357229769, ""outer"": 0.7550835358790812, ""voltage_pi"": 0.045760337683384215}",7.19910242530375e-17,1.6342482922482304e-13,8.242295734817162e-13,8.500145032286355e-17
voltage_pi__2,"{""voltage_pi"": 2.0}",60.0,0.1,stable,-1.156102977015668,14.654360061237993,-2.7494282098993192,56.22658506747862,matched,accepted,voltage_pi,0.997560078291125,0.9969019697563458,0.2234743668689186,-1.156102977015668,14.654360061237993,matched,accepted,voltage_pi,"{""current_pi"": 0.1307425367105104, ""lcl"": 0.4545327522546802, ""modulator"": 0.2228426640039048, ""outer"": 0.06041516067265974, ""voltage_pi"": 0.13146688635824488}","{""current_pi"": 0.012770123870149516, ""lcl"": 0.010145634558544094, ""modulator"": 0.013568467898674193, ""outer"": 0.9507164864123396, ""voltage_pi"": 0.012799287260292485}",7.19910242530375e-17,1.6342482922482304e-13,8.242295734817162e-13,8.500145032286355e-17
current_pi__0p5,"{""current_pi"": 0.5}",60.0,0.1,unstable,7.903493480806741,23.772674000234332,7.903493480806741,23.772674000234332,matched,accepted,current_pi,0.9965177723102098,0.9925325542804369,0.21303615114756744,-0.9268409165487042,14.880056096370504,matched,accepted,current_pi,"{""current_pi"": 0.17583348066207366, ""lcl"": 0.3221040070113429, ""modulator"": 0.18613426182560816, ""outer"": 0.13977285339626708, ""voltage_pi"": 0.1761553971047084}","{""current_pi"": 0.044993120889223304, ""lcl"": 0.09508475678032592, ""modulator"": 0.05761963326698033, ""outer"": 0.7571248866149893, ""voltage_pi"": 0.04517760244848111}",7.19910242530375e-17,1.6342482922482304e-13,8.242295734817162e-13,8.500145032286355e-17
current_pi__2,"{""current_pi"": 2.0}",60.0,0.1,stable,-1.1556530857440426,14.655037741780264,-3.1328514357305295,55.83225776418505,matched,accepted,current_pi,0.9975709864077201,0.9899920088349429,0.22119369199290762,-1.1556530857440426,14.655037741780264,matched,accepted,current_pi,"{""current_pi"": 0.13053248668378942, ""lcl"": 0.4556105147810013, ""modulator"": 0.22099777043947078, ""outer"": 0.06086809130065009, ""voltage_pi"": 0.13199113679508848}","{""current_pi"": 0.012783921500998191, ""lcl"": 0.010208498718290548, ""modulator"": 0.01360065792290071, ""outer"": 0.950564513174528, ""voltage_pi"": 0.012842408683282514}",7.19910242530375e-17,1.6342482922482304e-13,8.242295734817162e-13,8.500145032286355e-17
modulator_time__0p5,"{""modulator_time"": 0.5}",60.0,0.1,unstable,9.22927349534546,40.81518183299555,9.22927349534546,40.81518183299555,matched,accepted,modulator_time,0.9978572038814887,0.9985968528452281,0.18596079122189227,-1.1623470319796207,14.649551324582722,matched,accepted,modulator_time,"{""current_pi"": 0.15545637690149836, ""lcl"": 0.48342020467875235, ""modulator"": 0.13060462720375224, ""outer"": 0.0745819324349907, ""voltage_pi"": 0.15593685878100644}","{""current_pi"": 0.005257771434204554, ""lcl"": 0.017651864970733594, ""modulator"": 0.013233740500770464, ""outer"": 0.9585759929305859, ""voltage_pi"": 0.005280630163705718}",7.19910242530375e-17,1.6342482922482304e-13,8.242295734817162e-13,8.500145032286355e-17
modulator_time__2,"{""modulator_time"": 2.0}",60.0,0.1,unstable,1.4840866164265858,27.825657472037324,1.4840866164265858,27.825657472037324,matched,accepted,modulator_time,0.9891141176757244,0.9911550468907105,0.23965559502520375,-1.0358766691791077,15.572566042049768,matched,accepted,modulator_time,"{""current_pi"": 0.1834035464266207, ""lcl"": 0.24448088087943862, ""modulator"": 0.2715749464314823, ""outer"": 0.11608074053340373, ""voltage_pi"": 0.1844598857290548}","{""current_pi"": 0.043095478045723154, ""lcl"": 0.02709695475974401, ""modulator"": 0.07330708173455322, ""outer"": 0.8132043567312006, ""voltage_pi"": 0.043296128728779026}",7.19910242530375e-17,1.6342482922482304e-13,8.242295734817162e-13,8.500145032286355e-17
converter_side_reactance__0p5,"{""converter_side_reactance"": 0.5}",60.0,0.1,stable,-1.1598131007162582,14.667546374395743,-5.525100523803368,46.54277434142847,matched,accepted,converter_side_reactance,0.9965751153368696,0.9921511771925202,0.22005633293427762,-1.1598131007162582,14.667546374395743,matched,accepted,converter_side_reactance,"{""current_pi"": 0.15070343363264824, ""lcl"": 0.34547791960104496, ""modulator"": 0.2818843204500782, ""outer"": 0.06943830027349218, ""voltage_pi"": 0.15249602604273638}","{""current_pi"": 0.013504019437652656, ""lcl"": 0.010382124820254812, ""modulator"": 0.014868151971730947, ""outer"": 0.9476801938031771, ""voltage_pi"": 0.013565509967184544}",7.19910242530375e-17,2.2382096176443156e-13,8.242295734817162e-13,2.6020852139652106e-17
converter_side_reactance__2,"{""converter_side_reactance"": 2.0}",60.0,0.1,unstable,9.30198462383585,25.39235145604856,9.30198462383585,25.39235145604856,matched,accepted,converter_side_reactance,0.9956035559272338,0.9849654517859601,0.1988732477890265,-0.9828768700255702,14.92811674475629,matched,accepted,converter_side_reactance,"{""current_pi"": 0.17319329098090136, ""lcl"": 0.36998866692024995, ""modulator"": 0.15547468918148605, ""outer"": 0.12791322535402744, ""voltage_pi"": 0.1734301275633351}","{""current_pi"": 0.0327997553336449, ""lcl"": 0.08376905131482752, ""modulator"": 0.05296108976907503, ""outer"": 0.7975343067230554, ""voltage_pi"": 0.03293579685939711}",7.19910242530375e-17,5.684341886080802e-14,8.242295734817162e-13,2.6020852139652106e-17
filter_capacitor__0p5,"{""filter_capacitor"": 0.5}",60.0,0.1,unstable,4.786641758172642,35.99033270906479,4.786641758172642,35.99033270906479,matched,accepted,filter_capacitor,0.9999927071825687,0.9999958307590715,0.00574114834479775,-1.1397717814864858,14.895294075599843,matched,accepted,filter_capacitor,"{""current_pi"": 0.16419121429454114, ""lcl"": 0.3763445549978636, ""modulator"": 0.20844199149618586, ""outer"": 0.08641515166047865, ""voltage_pi"": 0.1646070875509305}","{""current_pi"": 0.015126002520866587, ""lcl"": 0.01917027415969355, ""modulator"": 0.029069908337869464, ""outer"": 0.9214739809203357, ""voltage_pi"": 0.015159834061234737}",7.19910242530375e-17,1.0302869668521453e-13,8.242295734817162e-13,1.9081958235744878e-17
filter_capacitor__2,"{""filter_capacitor"": 2.0}",60.0,0.1,unstable,4.189458198682581,35.81502046656886,4.189458198682581,35.81502046656886,matched,accepted,filter_capacitor,0.9999702449974216,0.9999832359970499,0.011440238705962714,-1.13996759188412,14.902051200745193,matched,accepted,filter_capacitor,"{""current_pi"": 0.1630988910481304, ""lcl"": 0.3786194454858864, ""modulator"": 0.20559867383553462, ""outer"": 0.08787199495901368, ""voltage_pi"": 0.1648109946714349}","{""current_pi"": 0.015332659579443342, ""lcl"": 0.019368423478002068, ""modulator"": 0.02928177507804266, ""outer"": 0.9205465405306491, ""voltage_pi"": 0.015470601333862868}",7.19910242530375e-17,7.105427357601002e-15,8.242295734817162e-13,1.691355389077387e-17
grid_side_reactance__0p5,"{""grid_side_reactance"": 0.5}",60.0,0.1,unstable,6.464342930706663,30.966101936418962,6.464342930706663,30.966101936418962,matched,accepted,grid_side_reactance,0.9939507338482314,0.9891118533091326,0.14661166580227333,-0.1935274820323034,17.118905312624342,matched,accepted,grid_side_reactance,"{""current_pi"": 0.1642281922931521, ""lcl"": 0.35816653885546906, ""modulator"": 0.17307469884620158, ""outer"": 0.1396988315761599, ""voltage_pi"": 0.16483173842901744}","{""current_pi"": 0.02234865521164668, ""lcl"": 0.04772537081148731, ""modulator"": 0.047522859742905266, ""outer"": 0.8599527545875165, ""voltage_pi"": 0.02245035964644409}",1.6653345369377348e-16,7.815970093361102e-14,2.3447910280083306e-13,7.37257477290143e-17
grid_side_reactance__2,"{""grid_side_reactance"": 2.0}",60.0,0.1,stable,-0.02697609453613037,42.81579801070154,-0.02697609453613037,42.81579801070154,matched,accepted,grid_side_reactance,0.9885609249572194,0.988196371928431,0.22870501181853795,-2.1997719048132733,12.105705680321618,matched,accepted,grid_side_reactance,"{""current_pi"": 0.15626429372925776, ""lcl"": 0.3785780575710808, ""modulator"": 0.2577363571176198, ""outer"": 0.04987918221294481, ""voltage_pi"": 0.15754210936909677}","{""current_pi"": 0.012831749616670537, ""lcl"": 0.01591105074163035, ""modulator"": 0.014043270006840445, ""outer"": 0.9443309853183343, ""voltage_pi"": 0.01288294431652433}",1.1102230246251565e-16,1.1013412404281553e-13,2.2382096176443156e-13,3.642919299551295e-17
qv_droop__0,"{""qv_droop"": 0.0}",60.0,0.1,unstable,3.803533540982448,33.796120924786884,3.803533540982448,33.796120924786884,matched,accepted,qv_droop,0.9973164036214328,0.9975206778113096,0.0628510409346867,-1.1570074439333804,14.855725837642137,matched,accepted,qv_droop,"{""current_pi"": 0.171994230645857, ""lcl"": 0.37320554294200625, ""modulator"": 0.20495763834086192, ""outer"": 0.07702180295424375, ""voltage_pi"": 0.17282078511703108}","{""current_pi"": 0.015029332069644375, ""lcl"": 0.02191906403077003, ""modulator"": 0.029160168483489023, ""outer"": 0.9187942335710945, ""voltage_pi"": 0.015097201845002177}",5.551115123125783e-17,1.7763568394002505e-14,4.2099657093785936e-13,3.426078865054194e-17
qv_droop__2,"{""qv_droop"": 2.0}",60.0,0.1,unstable,5.179088216753949,37.964588304303405,5.179088216753949,37.964588304303405,matched,accepted,qv_droop,0.9981597867480179,0.998287157738662,0.058389817663806715,-1.1281409752096878,14.925258205383896,matched,accepted,qv_droop,"{""current_pi"": 0.15653808747453013, ""lcl"": 0.38034218830738586, ""modulator"": 0.21011673751274493, ""outer"": 0.09562509460486932, ""voltage_pi"": 0.15737789210046982}","{""current_pi"": 0.015351124706738948, ""lcl"": 0.0175716025158707, ""modulator"": 0.029137835674010463, ""outer"": 0.9225196746294595, ""voltage_pi"": 0.015419762473920412}",1.457167719820518e-16,5.684341886080802e-14,7.331912854624534e-13,4.0332320816460765e-17
voltage_pi__0p5__current_pi__0p5,"{""current_pi"": 0.5, ""voltage_pi"": 0.5}",60.0,0.1,unstable,8.774053485818957,16.525619670222564,8.774053485818957,16.525619670222564,matched,accepted,voltage_pi->current_pi|current_pi->voltage_pi,0.9896390652385877,0.9670461979409958,0.29135960300246017,-0.2003308813021457,13.577287186371711,matched,accepted,voltage_pi->current_pi|current_pi->voltage_pi,"{""current_pi"": 0.17656493582525962, ""lcl"": 0.28667001034319245, ""modulator"": 0.1729198098806899, ""outer"": 0.1871744236844149, ""voltage_pi"": 0.17667082026644343}","{""current_pi"": 0.15042533289375054, ""lcl"": 0.18323334283870252, ""modulator"": 0.0778744627863457, ""outer"": 0.4370284126828915, ""voltage_pi"": 0.1514384487983097}",7.19910242530375e-17,1.6342482922482304e-13,8.242295734817162e-13,8.500145032286355e-17
voltage_pi__0p5__current_pi__2p0,"{""current_pi"": 2.0, ""voltage_pi"": 0.5}",60.0,0.1,unstable,4.299417046783773,35.71653046142995,4.299417046783773,35.71653046142995,matched,accepted,voltage_pi->current_pi|current_pi->voltage_pi,0.9960117636855791,0.9852094433530496,0.2608022496508724,-1.1383470606170123,14.898856802942845,matched,accepted,voltage_pi->current_pi|current_pi->voltage_pi,"{""current_pi"": 0.16327392104475097, ""lcl"": 0.3789074377596189, ""modulator"": 0.2051999161838501, ""outer"": 0.0876540069159285, ""voltage_pi"": 0.1649647180958515}","{""current_pi"": 0.015106937655234848, ""lcl"": 0.019443161524581837, ""modulator"": 0.029271653996727084, ""outer"": 0.9209354320839147, ""voltage_pi"": 0.015242814739541234}",7.19910242530375e-17,1.6342482922482304e-13,8.242295734817162e-13,8.500145032286355e-17
