frequency_Hz,normalized_voltage_margin,normalized_angle_schur_margin,normalized_angle_pivot_margin,normalized_voltage_schur_margin,normalized_total_sigma_min,relative_factorization_residual
0.001,0.46944039183744,0.880196718371011,0.469437931121061,0.880201332217354,0.413199892366116,1.85037586152468e-16
0.00100809567353382,0.469440404082938,0.880196676038421,0.469437903362963,0.880201364891609,0.413199883271935,1.85037503238177e-16
0.0010162568869976,0.469440416527509,0.880196633017633,0.469437875153604,0.880201398097047,0.413199874029909,1.85037596875821e-16
0.00102448417098122,0.46944042917439,0.880196589297461,0.469437846485647,0.880201431842305,0.413199864637634,1.85037867066567e-16
0.00103277806037004,0.469440442026869,0.880196544866535,0.469437817351638,0.880201466136156,0.413199855092669,3.70075083552225e-16
0.00104113909437969,0.469440455088288,0.880196499713299,0.469437787743999,0.880201500987521,0.413199845392529,1.80700708389394e-19
0.00104956781659108,0.469440468362044,0.880196453826013,0.469437757655031,0.880201536405464,0.413199835534694,3.70075062311557e-16
0.0010580647749858,0.469440481851589,0.880196407192741,0.469437727076909,0.880201572399192,0.413199825516598,1.85037889945297e-16
0.00106663052198171,0.469440495560432,0.880196359801357,0.469437696001681,0.88020160897807,0.413199815335637,1.85037542968548e-16
0.00107526561446888,0.469440509492137,0.880196311639536,0.469437664421265,0.880201646151609,0.413199804989164,1.80700731464209e-19
0.00108397061384575,0.469440523650327,0.880196262694753,0.469437632327448,0.880201683929474,0.413199794474485,3.61401474938516e-19
0.0010927460860557,0.469440538038684,0.88019621295428,0.469437599711885,0.880201722321494,0.413199783788869,1.80700743571932e-19
0.00110159260162376,0.46944055266095,0.88019616240518,0.469437566566092,0.88020176133765,0.413199772929535,1.80700749773816e-19
0.00111051073569377,0.469440567520927,0.880196111034309,0.469437532881451,0.88020180098809,0.413199761893659,1.80700756076526e-19
0.00111950106806574,0.46944058262248,0.880196058828307,0.469437498649201,0.880201841283126,0.413199750678372,0
0.00112856418323356,0.469440597969537,0.880196005773597,0.469437463860439,0.880201882233235,0.413199739280755,1.80700768991e-19
0.00113770067042298,0.469440613566087,0.880195951856382,0.469437428506119,0.880201923849069,0.413199727697846,1.80700775606123e-19
0.00114691112362992,0.469440629416188,0.88019589706264,0.469437392577046,0.880201966141449,0.413199715926632,1.85037689337463e-16
0.00115619614165913,0.469440645523961,0.880195841378122,0.469437356063877,0.880202009121376,0.413199703964051,1.8503769633339e-16
0.00116555632816306,0.469440661893594,0.880195784788345,0.469437318957115,0.880202052800024,0.413199691806993,1.8070079610377e-19
0.00117499229168114,0.469440678529346,0.880195727278595,0.469437281247111,0.880202097188755,0.413199679452295,0
0.00118450464567934,0.469440695435542,0.880195668833914,0.469437242924058,0.880202142299112,0.413199666896745,1.80700810330273e-19
0.00119409400859005,0.469440712616578,0.880195609439104,0.46943720397799,0.880202188142825,0.413199654137076,0
0.00120376100385228,0.469440730076924,0.880195549078718,0.469437164398778,0.880202234731818,0.413199641169972,1.85037997754615e-16
0.0012135062599522,0.469440747821118,0.880195487737059,0.469437124176129,0.880202282078207,0.413199627992059,1.85037740763125e-16
0.00122333041046402,0.469440765853777,0.880195425398175,0.469437083299582,0.880202330194305,0.41319961459991,1.85038013293263e-16
0.00123323409409112,0.469440784179588,0.880195362045854,0.469437041758508,0.880202379092623,0.413199600990042,1.80700847970263e-19
0.00124321795470765,0.469440802803319,0.880195297663619,0.469436999542103,0.880202428785881,0.413199587158916,1.85037676410222e-16
0.00125328264140034,0.469440821729812,0.880195232234729,0.469436956639389,0.880202479286999,0.413199573102934,1.85038037561431e-16
0.00126342880851072,0.469440840963989,0.880195165742168,0.469436913039208,0.880202530609114,0.413199558818441,0
0.00127365711567764,0.469440860510852,0.880195098168644,0.469436868730221,0.88020258276557,0.413199544301722,1.85037701473815e-16
0.00128396822788018,0.469440880375484,0.880195029496584,0.469436823700905,0.880202635769932,0.413199529549001,1.85037710101447e-16
0.00129436281548089,0.469440900563051,0.880194959708128,0.46943677793955,0.880202689635984,0.413199514556442,1.85037718869339e-16
0.00130484155426934,0.469440921078804,0.880194888785128,0.469436731434255,0.880202744377736,0.413199499320146,1.80700906034933e-19
0.00131540512550606,0.469440941928076,0.88019481670914,0.469436684172926,0.880202800009423,0.413199483836149,1.8070091487799e-19
0.00132605421596686,0.469440963116291,0.880194743461419,0.469436636143272,0.880202856545514,0.413199468100425,0
0.00133678951798747,0.469440984648958,0.880194669022917,0.469436587332803,0.88020291400071,0.413199452108881,0
0.00134761172950852,0.469441006531676,0.880194593374275,0.469436537728823,0.880202972389954,0.413199435857359,1.80700942279122e-19
0.00135852155412096,0.469441028770138,0.88019451649582,0.469436487318435,0.880203031728431,0.413199419341631,3.70075946152734e-16
0.00136951970111177,0.469441051370124,0.880194438367559,0.469436436088527,0.880203092031573,0.413199402557403,1.85037784368158e-16
0.0013806068855101,0.469441074337514,0.880194358969174,0.469436384025777,0.880203153315061,0.413199385500309,1.85037882576287e-16
0.00139178382813373,0.46944109767828,0.880194278280017,0.469436331116645,0.880203215594835,0.413199368165912,1.80700980938315e-19
0.00140305125563594,0.46944112139849,0.880194196279104,0.469436277347371,0.88020327888709,0.413199350549706,1.80700990999085e-19
0.00141440990055278,0.469441145504315,0.88019411294511,0.469436222703973,0.880203343208287,0.413199332647107,1.85037825252776e-16
0.00142586050135065,0.469441170002023,0.880194028256362,0.46943616717224,0.880203408575153,0.41319931445346,1.80701011613961e-19
0.00143740380247435,0.469441194897984,0.880193942190837,0.469436110737729,0.880203475004687,0.413199295964034,0
0.00144904055439544,0.469441220198674,0.880193854726153,0.469436053385764,0.880203542514167,0.413199277174019,1.85037945927178e-16
0.00146077151366109,0.46944124591067,0.880193765839563,0.469435995101431,0.880203611121148,0.413199258078529,1.85038662956279e-16
0.00147259744294318,0.46944127204066,0.880193675507953,0.469435935869572,0.880203680843472,0.413199238672597,1.85038674305203e-16
0.00148451911108798,0.469441298595439,0.880193583707828,0.469435875674782,0.880203751699271,0.413199218951176,0
0.00149653729316606,0.469441325581912,0.880193490415319,0.469435814501408,0.880203823706974,0.413199198909137,1.80701077602272e-19
0.00150865277052271,0.469441353007098,0.88019339560616,0.46943575233354,0.880203896885306,0.413199178541268,1.85038003609083e-16
0.00152086633082875,0.469441380878128,0.880193299255697,0.469435689155011,0.8802039712533,0.41319915784227,1.85038015714159e-16
0.00153317876813171,0.469441409202251,0.880193201338874,0.469435624949391,0.880204046830294,0.413199136806762,0
0.00154559088290748,0.469441437986832,0.880193101830225,0.469435559699982,0.880204123635944,0.413199115429271,3.70076301618043e-16
0.00155810348211234,0.469441467239356,0.880193000703873,0.469435493389815,0.880204201690223,0.413199093704238,0
0.00157071737923542,0.469441496967432,0.880192897933519,0.469435426001645,0.880204281013433,0.413199071626013,3.61402300589253e-19
0.0015834333943516,0.469441527178788,0.880192793492436,0.469435357517948,0.880204361626202,0.413199049188853,1.80701163108649e-19
0.00159625235417481,0.469441557881283,0.880192687353463,0.469435287920912,0.880204443549493,0.413199026386923,0
0.00160917509211179,0.4694415890829,0.880192579488998,0.469435217192439,0.880204526804614,0.413199003214292,3.61402378730084e-19
0.00162220244831628,0.469441620791754,0.880192469870989,0.469435145314135,0.880204611413214,0.413198979664934,0
0.0016353352697436,0.469441653016089,0.88019235847093,0.469435072267307,0.880204697397298,0.413198955732724,7.22804865928342e-19
0.00164857441020578,0.469441685764287,0.88019224525985,0.469434998032958,0.880204784779228,0.413198931411437,1.85038412832817e-16
0.00166192073042701,0.469441719044864,0.880192130208306,0.469434922591782,0.880204873581729,0.413198906694748,0
0.00167537509809962,0.469441752866474,0.880192013286379,0.46943484592416,0.880204963827895,0.413198881576228,1.85038089045336e-16
0.00168893838794052,0.469441787237912,0.880191894463662,0.469434768010153,0.880205055541195,0.413198856049345,1.85038103973781e-16
0.00170261148174801,0.469441822168116,0.880191773709254,0.469434688829499,0.880205148745482,0.413198830107458,1.85038119144922e-16
0.00171639526845917,0.469441857666171,0.880191650991751,0.469434608361606,0.880205243464995,0.413198803743822,1.85038487494601e-16
0.0017302906442076,0.469441893741308,0.88019152627924,0.469434526585547,0.880205339724367,0.413198776951579,3.61402637170189e-19
0.00174429851238172,0.469441930402908,0.880191399539288,0.469434443480055,0.880205437548631,0.41319874972376,0
0.00175841978368348,0.469441967660504,0.880191270738934,0.469434359023518,0.880205536963229,0.413198722053285,3.61402699875627e-19
0.00177265537618758,0.469442005523786,0.880191139844683,0.469434273193971,0.880205637994015,0.413198693932956,0
0.00178700621540116,0.469442044002601,0.880191006822495,0.469434185969093,0.880205740667263,0.413198665355459,0
0.00180147323432395,0.469442083106953,0.880190871637776,0.4694340973262,0.880205845009676,0.413198636313362,3.61402797808648e-19
0.00181605737350894,0.469442122847014,0.880190734255369,0.469434007242239,0.88020595104839,0.413198606799112,1.85038602670413e-16
0.00183075958112354,0.469442163233116,0.880190594639547,0.469433915693783,0.880206058810981,0.413198576805031,1.85038267279171e-16
0.00184558081301122,0.469442204275762,0.880190452754001,0.469433822657023,0.880206168325475,0.413198546323319,1.85039696829908e-16
0.00186052203275363,0.469442245985625,0.880190308561833,0.469433728107764,0.880206279620353,0.413198515346047,1.85038656153276e-16
0.00187558421173328,0.469442288373553,0.880190162025543,0.469433632021416,0.880206392724559,0.413198483865159,1.85038674563671e-16
0.00189076832919665,0.469442331450567,0.880190013107025,0.469433534372992,0.88020650766751,0.413198451872467,3.61403008478673e-19
0.0019060753723179,0.46944237522787,0.880189861767548,0.469433435137095,0.880206624479095,0.413198419359649,7.2280609123013e-19
0.00192150633626303,0.469442419716847,0.880189707967758,0.469433334287919,0.880206743189696,0.413198386318249,1.8503837867786e-16
0.00193706222425457,0.469442464929066,0.880189551667655,0.469433231799236,0.880206863830184,0.413198352739673,1.85038751247346e-16
0.00195274404763682,0.469442510876285,0.880189392826593,0.469433127644392,0.880206986431935,0.413198318615188,1.85038771203717e-16
0.00196855282594159,0.469442557570452,0.880189231403263,0.4694330217963,0.880207111026833,0.413198283935918,1.85038791484527e-16
0.00198448958695448,0.46944260502371,0.880189067355685,0.469432914227434,0.880207237647281,0.413198248692842,7.22806481103646e-19
0.00200055536678172,0.469442653248399,0.880188900641198,0.469432804909817,0.88020736632621,0.413198212876796,1.85038833040644e-16
0.00201675120991751,0.46944270225706,0.880188731216445,0.469432693815021,0.880207497097084,0.413198176478461,3.61403323035476e-19
0.00203307816931193,0.469442752062438,0.880188559037365,0.469432580914153,0.880207629993914,0.413198139488372,1.85039934752805e-16
0.0020495373064394,0.469442802677483,0.880188384059183,0.469432466177851,0.88020776505126,0.413198101896908,0
0.00206612969136771,0.469442854115359,0.880188206236391,0.469432349576277,0.880207902304248,0.41319806369429,1.85038567351321e-16
0.00208285640282755,0.469442906389442,0.880188025522746,0.469432231079107,0.880208041788573,0.413198024870582,3.61403496202626e-19
0.00209971852828265,0.469442959513325,0.880187841871252,0.469432110655523,0.880208183540512,0.413197985415687,0
0.00211671716400053,0.469443013500823,0.880187655234147,0.469431988274208,0.880208327596927,0.413197945319341,1.85038989510793e-16
0.0021338534151237,0.469443068365975,0.880187465562895,0.469431863903334,0.880208473995285,0.413197904571116,3.61403633609004e-19
0.00215112839574156,0.469443124123049,0.880187272808169,0.469431737510557,0.880208622773659,0.413197863160413,1.85038684625094e-16
0.0021685432289628,0.469443180786544,0.880187076919842,0.469431609063005,0.880208773970743,0.413197821076461,3.61403728976736e-19
0.00218609904698845,0.469443238371195,0.880186877846971,0.469431478527275,0.880208927625858,0.413197778308314,1.85038734247197e-16
0.00220379699118545,0.469443296891977,0.880186675537784,0.469431345869418,0.880209083778965,0.413197734844846,1.85039112598011e-16
0.00222163821216089,0.469443356364108,0.88018646993967,0.469431211054934,0.880209242470674,0.413197690674754,1.85038785495876e-16
0.0022396238698368,0.469443416803052,0.880186260999159,0.469431074048762,0.880209403742258,0.413197645786548,1.85038811746776e-16
0.00225775513352553,0.469443478224529,0.880186048661914,0.469430934815272,0.880209567635658,0.413197600168553,1.85038838424451e-16
0.00227603318200585,0.469443540644508,0.880185832872715,0.469430793318253,0.880209734193498,0.413197553808902,0
0.0022944592035995,0.469443604079222,0.880185613575443,0.469430649520907,0.880209903459094,0.413197506695538,1.85040304817324e-16
0.0023130343962485,0.469443668545168,0.880185390713068,0.469430503385837,0.880210075476469,0.413197458816205,7.22808285500282e-19
0.00233175996759301,0.469443734059108,0.880185164227632,0.469430354875038,0.880210250290359,0.413197410158449,1.85039302476818e-16
0.00235063713504986,0.469443800638081,0.880184934060235,0.469430203949887,0.880210427946228,0.413197360709615,0
0.00236966712589169,0.469443868299398,0.880184700151018,0.469430050571132,0.88021060849028,0.413197310456839,0
0.00238885117732672,0.469443937060655,0.880184462439151,0.469429894698886,0.880210791969469,0.413197259387051,3.61404370537384e-19
0.00240819053657923,0.469444006939732,0.880184220862815,0.469429736292611,0.880210978431513,0.413197207486966,1.85039421000186e-16
0.0024276864609706,0.469444077954802,0.880183975359185,0.46942957531111,0.880211167924906,0.413197154743084,1.85039098911318e-16
0.00244734021800108,0.46944415012433,0.880183725864414,0.469429411712516,0.88021136049893,0.413197101141686,7.22809102568711e-19
