tau,dominant_zero_real_Hz,dominant_zero_oscillation_Hz
0,-75,0
0.005,-0.042256159098985,1.67625285643334
0.01,-0.0401968564617489,1.65212472414415
0.015,-0.0381342013334896,1.6289118715675
0.02,-0.0360802263624096,1.60655731576886
0.025,-0.0340446482737829,1.58500899055922
0.03,-0.0320352643950345,1.56421922006992
0.035,-0.030058279313257,1.54414425677977
0.04,-0.0281185747833139,1.52474387554164
0.045,-0.0262199333771652,1.50598101626825
0.05,-0.02436522425644,1.48782146889932
0.055,-0.0225565578497278,1.47023359515692
0.06,-0.020795414917269,1.45318808231768
0.065,-0.0190827544121245,1.43665772491079
0.07,-0.0174191037964931,1.42061723078109
0.075,-0.015804634751854,1.4050430484627
0.08,-0.0142392267216734,1.38991321321233
0.085,-0.0127225202872559,1.37520720941196
0.09,-0.0112539620306035,1.3609058473565
0.095,-0.00983284225434543,1.34699115270549
0.1,-0.00845832669741087,1.33344626710423
0.105,-0.00712948319490371,1.32025535867433
0.11,-0.00584530407440183,1.30740354124117
0.115,-0.00460472495205463,1.29487680131026
0.12,-0.00340664048473024,1.28266193192891
0.125,-0.00224991754753664,1.27074647267676
0.13,-0.00113340622743549,1.25911865512331
0.135,-5.59489705043832e-05,1.24776735316848
0.14,0.000983611839672773,1.23668203775492
0.145,0.00198642763332531,1.22585273549981
0.15,0.00295363853195624,1.21526999084704
0.155,0.00388636918366717,1.20492483138713
0.16,0.00478572540735107,1.19480873603265
0.165,0.00565279152555971,1.18491360577005
0.17,0.00648862827581227,1.17523173674309
0.175,0.00729427121449459,1.16575579544659
0.18,0.00807072953497696,1.15647879583531
0.185,0.00881898523477349,1.1473940781722
0.19,0.0095399925751748,1.13849528945941
0.195,0.0102346777860804,1.1297763653119
0.2,0.0109039389770842,1.12123151314669
0.205,0.0115486462164337,1.11285519657487
0.21,0.0121696417519474,1.10464212089406
0.215,0.0127677403463174,1.09658721958842
0.22,0.0133437297049359,1.08868564175498
0.225,0.0138983709803373,1.08093274037777
0.23,0.0144323993349573,1.07332406138463
0.235,0.014946524550401,1.06585533342301
0.24,0.0154414316715256,1.05852245829907
0.245,0.0159177816758295,1.05132150202899
0.25,0.0163762121601682,1.04424868645578
0.255,0.0168173380378335,1.03730038138949
0.26,0.0172417522408027,1.03047309723118
0.265,0.0176500264216339,1.02376347804655
0.27,0.0180427116517967,1.01716829505558
0.275,0.0184203391128412,1.01068444050913
0.28,0.0187834207777589,1.0043089219251
0.285,0.0191324500804846,0.998038856658984
0.29,0.0194679025717127,0.991871466786097
0.295,0.0197902365597537,0.985804074273967
0.3,0.0200998937353325,0.979834096425653
0.305,0.0203972997796183,0.973959041575874
0.31,0.0206828649548102,0.968176505023384
0.315,0.0209569846771318,0.962484165184245
0.32,0.0212200400717877,0.956879779951806
0.325,0.0214723985100052,0.951361183250298
0.33,0.0217144141281597,0.945926281769838
0.335,0.021946428329052,0.940573051871554
0.34,0.0221687702656931,0.93529953665245
0.345,0.0223817573077504,0.930103843160155
0.35,0.0225856954910614,0.924984139748638
0.355,0.0227808799505791,0.919938653566419
0.36,0.0229675953371441,0.914965668169461
0.365,0.0231461162184949,0.910063521251443
0.37,0.0233167074649984,0.905230602484649
0.375,0.0234796246205327,0.900465351465059
0.38,0.0236351142589912,0.895766255755802
0.385,0.0237834143269101,0.891131849023358
0.39,0.023924754472603,0.886560709261382
0.395,0.0240593563623785,0.882051457097284
0.4,0.0241874339842196,0.877602754177038
0.405,0.0243091939394187,0.873213301623967
0.41,0.024424835722848,0.868881838567771
0.415,0.0245345519907168,0.86460714073857
0.42,0.0246385288204508,0.860388019126331
0.425,0.0247369459571954,0.85622331869696
0.43,0.024829977052009,0.852111917166255
0.435,0.0249177898901948,0.848052723827037
0.44,0.0250005466104741,0.844044678426965
0.445,0.0250784039153499,0.840086750094502
0.45,0.0251515132730883,0.836177936310683
0.455,0.0252200211115498,0.832317261924248
0.46,0.0252840690043988,0.82850377820809
0.465,0.0253437938496396,0.824736561954982
0.47,0.0253993280412494,0.821014714610663
0.475,0.0254507996338013,0.817337361442435
0.48,0.0254983325009785,0.813703650741528
0.485,0.0255420464866821,0.810112753057961
0.49,0.0255820575516705,0.806563860465675
0.495,0.0256184779130051,0.803056185857373
0.5,0.0256514161798864,0.79958896226647
0.505,0.0256809774804767,0.796161442217153
0.51,0.0257072635885243,0.792772897097977
0.515,0.0257303730414509,0.789422616560895
0.52,0.0257504012552353,0.786109907943052
0.525,0.0257674406345896,0.782834095710604
0.53,0.0257815806788819,0.779594520923783
0.535,0.0257929080838974,0.776390540721914
0.54,0.02580150683972,0.773221527827883
0.545,0.0258074583248143,0.770086870070909
0.55,0.025810841396494,0.766985969927018
0.555,0.0258117324779751,0.763918244076393
0.56,0.0258102056419027,0.760883122976383
0.565,0.0258063326911727,0.757880050451274
0.57,0.0258001832360752,0.754908483295062
0.575,0.0257918247689719,0.751967890889756
0.58,0.0257813227359718,0.7490577548367
0.585,0.025768740605988,0.746177568601029
0.59,0.0257541399371452,0.743326837168562
0.595,0.0257375804407669,0.7405050767147
0.6,0.0257191200429617,0.73771181428476
0.605,0.0256988149439125,0.734946587485371
0.61,0.0256767196750269,0.732208944186381
0.615,0.0256528871539267,0.729498442232947
0.62,0.0256273687374639,0.726814649167356
0.625,0.0256002142727951,0.724157141960195
0.63,0.0255714721465765,0.72152550675052
0.635,0.0255411893323937,0.718919338594645
0.64,0.0255094114364845,0.716338241223247
0.645,0.0254761827417988,0.713781826806444
0.65,0.0254415462504737,0.71124971572655
0.655,0.0254055437248424,0.708741536358198
0.66,0.0253682157268882,0.706256924855583
0.665,0.0253296016564013,0.703795524946515
0.67,0.0252897397877302,0.701356987733068
0.675,0.0252486673052295,0.698940971498549
0.68,0.0252064203377921,0.696547141520511
0.685,0.0251630339906755,0.694175169889866
0.69,0.0251185423792472,0.691824735335201
0.695,0.0250729786584415,0.689495523052991
0.7,0.0250263750528398,0.68718722454289
0.705,0.0249787628853267,0.684899537448011
0.71,0.0249301726047862,0.682632165400168
0.715,0.0248806338128674,0.680384817869825
0.72,0.0248301752898359,0.678157210020564
0.725,0.0247788250195121,0.675949062567916
0.73,0.0247266102133874,0.673760101642403
0.735,0.0246735573339759,0.671590058656761
0.74,0.0246196921172715,0.6694386701769
0.745,0.0245650395945704,0.667305677796878
0.75,0.0245096241134824,0.665190828017386
0.755,0.0244534693583021,0.663093872127848
0.76,0.0243965983696705,0.66101456609192
0.765,0.0243390335635509,0.65895267043624
0.77,0.02428079674973,0.656907950142535
0.775,0.0242219091495287,0.654880174542621
0.78,0.0241623914130023,0.652869117216441
0.785,0.0241022636356937,0.650874555893121
0.79,0.0240415453746525,0.648896272354598
0.795,0.0239802556640613,0.646934052342102
0.8,0.0239184130303597,0.644987685465196
0.805,0.0238560355068049,0.643056965113322
0.81,0.0237931406476365,0.641141688369792
0.815,0.0237297455417824,0.639241655928202
0.82,0.0236658668261055,0.63735667201102
0.825,0.0236015206982083,0.635486544290481
0.83,0.0235367229289457,0.633631083811617
0.835,0.023471488874395,0.631790104917293
0.84,0.0234058334875794,0.629963425175335
0.845,0.0233397713293598,0.628150865307522
0.85,0.0232733165807886,0.626352249120539
0.855,0.0232064830517588,0.624567403438751
0.86,0.0231392841925349,0.622796158038678
0.865,0.0230717331034317,0.621038345585263
0.87,0.0230038425444748,0.619293801569736
0.875,0.0229356249447586,0.617562364249173
0.88,0.0228670924115503,0.615843874587533
0.885,0.0227982567390801,0.614138176198262
0.89,0.0227291294170933,0.612445115288367
0.895,0.0226597216391304,0.610764540603889
0.9,0.0225900443105531,0.609096303376783
0.905,0.022520108056369,0.607440257273134
0.91,0.022449923228753,0.605796258342675
0.915,0.0223794999144134,0.604164164969579
0.92,0.022308847941709,0.602543837824447
0.925,0.0222379768875381,0.600935139817545
0.93,0.0221668960840682,0.599337936053139
0.935,0.0220956146252376,0.597752093784989
0.94,0.022024141373053,0.59617748237292
0.945,0.0219524849637592,0.594613973240469
0.95,0.0218806538137662,0.593061439833534
0.955,0.0218086561254417,0.591519757580062
0.96,0.0217364998927294,0.589988803850664
0.965,0.0216641929065993,0.588468457920207
0.97,0.0215917427603403,0.586958600930327
0.975,0.0215191568547105,0.585459115852798
0.98,0.0214464424029429,0.583969887453817
0.985,0.0213736064355842,0.582490802259092
0.99,0.0213006558052265,0.581021748519781
0.995,0.0212275971910909,0.579562616179199
1,0.0211544371034798,0.578113296840329
