case_id,damping_D,frequency_Hz,Yc11_real,Yc11_imag,Yc12_real,Yc12_imag,Yc21_real,Yc21_imag,Yc22_real,Yc22_imag,Ynet11_real,Ynet11_imag,Ynet12_real,Ynet12_imag,Ynet21_real,Ynet21_imag,Ynet22_real,Ynet22_imag
fig8_D_0p05,0.050000000000000003,0.001,0.50000015274325049,-1.7098243165454868e-05,-3.13228028702335e-06,0.00031415946697965937,-1.7806744664547458e-07,-0.0012390896397512959,-0.50000005960644245,-4.9875321527539625e-11,0.90000000028159999,9.5999999985664014e-06,0.80000000005119998,-1.2800000004915199e-05,-0.80000000005119998,1.2800000004915199e-05,0.90000000028159999,9.599999998566398e-06
fig8_D_0p05,0.050000000000000003,0.0010162650893929951,0.50000015775242512,-1.7376353778120546e-05,-3.2350026158522077e-06,0.00031926930551338522,-1.8390712056351455e-07,-0.001259243542554472,-0.5000000615612199,-5.2348800651697306e-11,0.90000000029083504,9.7561448566680589e-06,0.80000000005287919,-1.3008193149389298e-05,-0.80000000005287908,1.30081931493893e-05,0.90000000029083493,9.7561448566680538e-06
fig8_D_0p05,0.050000000000000003,0.0010327947319189515,0.50000016292587424,-1.765898819021299e-05,-3.3410936983517595e-06,0.00032446225636089494,-1.89938305000803e-07,-0.0012797252503410797,-0.50000006358010385,-5.494494766325876e-11,0.90000000030037286,9.9148294248426169e-06,0.80000000005461325,-1.3219772573977389e-05,-0.80000000005461325,1.3219772573977389e-05,0.90000000030037286,9.9148294248426135e-06
fig8_D_0p05,0.050000000000000003,0.0010495932305582276,0.50000016826898541,-1.7946219996882569e-05,-3.4506640120578534e-06,0.00032973967136792914,-1.9616728049939858e-07,-0.0013005400948861371,-0.50000006566519639,-5.7669846068047646e-11,0.90000000031022342,1.0076095011701341e-05,0.80000000005640426,-1.343479335682866e-05,-0.80000000005640415,1.343479335682866e-05,0.90000000031022342,1.0076095011701341e-05
fig8_D_0p05,0.050000000000000003,0.0010666649582795388,0.50000017378732231,-1.8238123991062596e-05,-3.5638276575983089e-06,0.00033510292436893913,-2.0260053356160879e-07,-0.0013216934946863365,-0.50000006781866912,-6.0529881064694648e-11,0.90000000032039718,1.0239983597743723e-05,0.80000000005825411,-1.3653311471943299e-05,-0.80000000005825411,1.3653311471943299e-05,0.90000000032039718,1.0239983597743718e-05
fig8_D_0p05,0.050000000000000003,0.0010840143591783311,0.50000017948663178,-1.8534776182988653e-05,-3.6807024775120096e-06,0.00034055341154477764,-2.0924476341541154e-07,-0.001343190956370586,-0.50000007004276426,-6.3531754523568108e-11,0.90000000033090455,1.0406537846285843e-05,0.80000000006016447,-1.3875383803743675e-05,-0.80000000006016447,1.3875383803743675e-05,0.90000000033090455,1.0406537846285841e-05
fig8_D_0p05,0.050000000000000003,0.0011016459496336569,0.50000018537284863,-1.8836253820037207e-05,-3.8014101789646037e-06,0.00034609255178620564,-2.161068889706963e-07,-0.0013650380761334748,-0.50000007233979815,-6.6682500673824214e-11,0.90000000034175631,1.0575801114566404e-05,0.80000000006213756,-1.4101068161882349e-05,-0.80000000006213734,1.4101068161882349e-05,0.90000000034175631,1.0575801114566404e-05
fig8_D_0p05,0.050000000000000003,0.0011195643194838783,0.5000001914521025,-1.9142635406888869e-05,-3.9260764604887407e-06,0.00035172178706331723,-2.231940560773471e-07,-0.0013872405411920624,-0.50000007471216257,-6.9989502610385071e-11,0.90000000035296424,1.0747817465033476e-05,0.80000000006417538,-1.433042329629109e-05,-0.80000000006417515,1.4330423296291087e-05,0.90000000035296424,1.0747817465033477e-05
fig8_D_0p05,0.050000000000000003,0.0011377741332214914,0.50000019773072379,-1.945400072602164e-05,-4.0548311428807781e-06,0.0003574425828009745,-2.3051364490822568e-07,-0.0014098041312663647,-0.5000000771623283,-7.3460509566634566e-11,0.90000000036453964,1.0922631676814791e-05,0.80000000006627991,-1.45635089124746e-05,-0.80000000006627991,1.45635089124746e-05,0.90000000036453964,1.0922631676814789e-05
fig8_D_0p05,0.050000000000000003,0.0011562801312073755,0.50000020421525104,-1.9770430858539597e-05,-4.1878083043902039e-06,0.00036325642826034869,-2.3807327766134367e-07,-0.0014327347200839063,-0.50000007969284632,-7.710365508496915e-11,0.90000000037649452,1.110028925737456e-05,0.80000000006845362,-1.4800385687052951e-05,-0.80000000006845351,1.4800385687052951e-05,0.90000000037649464,1.1100289257374562e-05
fig8_D_0p05,0.050000000000000003,0.0011750871309048076,0.50000021091243652,-2.0092008205342686e-05,-4.3251464203427135e-06,0.00036916483692667418,-2.4588082651877397e-07,-0.0014560382769087654,-0.50000008230635218,-8.0927476091979811e-11,0.90000000038884154,1.1280836454359997e-05,0.80000000007069849,-1.5041115283556914e-05,-0.80000000007069827,1.5041115283556914e-05,0.90000000038884154,1.1280836454359997e-05
fig8_D_0p05,0.050000000000000003,0.0011942000281335325,0.50000021782925452,-2.0418816508643057e-05,-4.4669885073421696e-06,0.00037516934690330736,-2.5394442181372878e-07,-0.0014797208680954674,-0.50000008500556725,-8.4940932874877102e-11,0.90000000040159356,1.1464320267640395e-05,0.80000000007301708,-1.5285760368480117e-05,-0.80000000007301686,1.5285760368480114e-05,0.90000000040159356,1.1464320267640396e-05
fig8_D_0p05,0.050000000000000003,0.0012136237983442406,0.50000022497290786,-2.075094087383388e-05,-4.6134822722017463e-06,0.00038127152131220009,-2.6227246052376585e-07,-0.001503788658668165,-0.50000008779330218,-8.9153430094684495e-11,0.90000000041476369,1.1650788461542111e-05,0.80000000007541161,-1.5534384627592323e-05,-0.80000000007541161,1.5534384627592323e-05,0.90000000041476369,1.1650788461542113e-05
fig8_D_0p05,0.050000000000000003,0.0012333634979137761,0.50000023235083535,-2.108846779171664e-05,-4.7647802657593273e-06,0.00038747294870089115,-2.7087361499297802e-07,-0.0015282479139255038,-0.50000009067246032,-9.3574838826035673e-11,0.90000000042836581,1.1840289577282563e-05,0.80000000007788474,-1.5787052782518109e-05,-0.80000000007788463,1.5787052782518106e-05,0.90000000042836581,1.1840289577282567e-05
fig8_D_0p05,0.050000000000000003,0.0012534242654613996,0.50000023997072018,-2.1431485161092336e-05,-4.9210400417372167e-06,0.00039377524345611482,-2.7975684198031092e-07,-0.0015531050010715761,-0.5000000936460397,-9.8215519677785851e-11,0.90000000044241402,1.2032872945606359e-05,0.80000000008043892,-1.6043830607585023e-05,-0.80000000008043881,1.604383060758502e-05,0.90000000044241402,1.2032872945606362e-05
fig8_D_0p05,0.050000000000000003,0.0012738113231864786,0.50000024784049724,-2.178008231172334e-05,-5.0824243208118616e-06,0.00040018004622414792,-2.8893139197849749e-07,-0.0015783663908734303,-0.50000009671713674,-1.0308634707914045e-10,0.90000000045692286,1.2228588699627113e-05,0.80000000008307692,-1.6304784946946053e-05,-0.80000000008307681,1.6304784946946053e-05,0.90000000045692286,1.2228588699627114e-05
fig8_D_0p05,0.050000000000000003,0.001294529978227916,0.50000025596836151,-2.2134350027671417e-05,-5.2491011600641046e-06,0.00040668902433798926,-2.9840681883483433e-07,-0.0016040386593455011,-0.50000009988894978,-1.0819873475162987e-10,0.90000000047190754,1.2427487787877967e-05,0.80000000008580152,-1.6569983731980278e-05,-0.80000000008580141,1.6569983731980278e-05,0.90000000047190742,1.2427487787877966e-05
fig8_D_0p05,0.050000000000000003,0.0013155856240457038,0.50000026436277711,-2.249438057101866e-05,-5.4212441279867438e-06,0.00041330387225149598,-3.0819298973971954e-07,-0.001630128489461472,-0.50000010316478138,-1.1356466247535064e-10,0.90000000048738349,1.2629621987574489e-05,0.80000000008861516,-1.683949599897677e-05,-0.80000000008861505,1.683949599897677e-05,0.9000000004873836,1.2629621987574491e-05
fig8_D_0p05,0.050000000000000003,0.0013369837418249467,0.5000002730324854,-2.2860267705977704e-05,-5.5990324852315027e-06,0.00042002631198058329,-3.1830009544417392e-07,-0.0016566426728939659,-0.50000010654804328,-1.1919670413592038e-10,0.90000000050336715,1.2835043918093341e-05,0.80000000009152139,-1.7113391907106116e-05,-0.80000000009152128,1.7113391907106116e-05,0.90000000050336715,1.2835043918093339e-05
fig8_D_0p05,0.050000000000000003,0.0013587299019027091,0.50000028198651447,-2.3232106723397095e-05,-5.7826513712835667e-06,0.00042685809355160229,-3.287386609110432e-07,-0.0016835881117825188,-0.50000011004225819,-1.251080572012243e-10,0.90000000051987494,1.3043807054669944e-05,0.80000000009452277,-1.7391742756684042e-05,-0.80000000009452277,1.7391742756684039e-05,0.90000000051987494,1.3043807054669944e-05
fig8_D_0p05,0.050000000000000003,0.0013808297652180923,0.50000029123418888,-2.3609994465669407e-05,-5.9722919972583493e-06,0.00043380099545701898,-3.3951955628538921e-07,-0.0017109718205303398,-0.50000011365106511,-1.313125736516704e-10,0.90000000053692408,1.3255965742319283e-05,0.80000000009762262,-1.76746210077324e-05,-0.80000000009762251,1.7674621007732397e-05,0.90000000053692408,1.3255965742319283e-05
fig8_D_0p05,0.050000000000000003,0.001403289084785873,0.50000030078513824,-2.3994029352047913e-05,-6.1681518450208889e-06,0.00044085682511850233,-3.5065400817366199e-07,-0.0017388009276302643,-0.50000011737822181,-1.3782479242832753e-10,0.90000000055453233,1.3471575209982793e-05,0.80000000010082417,-1.7962100298841764e-05,-0.80000000010082395,1.7962100298841764e-05,0.90000000055453233,1.347157520998279e-05
