case_id,damping_D,value_type,value_index,real_Hz,imag_Hz,is_dominant_pair
fig8_D_0p05,0.050000000000000003,closed-loop-pole,1,0.021154437103478328,-0.57811329684031898,1
fig8_D_0p05,0.050000000000000003,closed-loop-pole,2,0.021154437103478328,0.57811329684031898,1
fig8_D_0p05,0.050000000000000003,closed-loop-pole,3,-0.75449242517838888,0,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,4,-4.6251704468070374,-100.64595652761834,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,5,-4.6251704468070374,100.64595652761834,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,6,-4.6266408300547397,-0.70087269297476984,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,7,-4.6266408300547397,0.70087269297476984,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,8,-22.55960295477653,-50.098073004770434,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,9,-22.55960295477653,50.098073004770434,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,10,-24.999999999999996,-50.000000000000021,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,11,-24.999999999999996,50.000000000000021,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,12,-25,-50.000000000000014,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,13,-25,50.000000000000014,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,14,-25.000000000000025,-50.000000000000057,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,15,-25.000000000000025,50.000000000000057,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,16,-243.38877028083152,-49.804466548594327,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,17,-243.38877028083152,49.804466548594327,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,18,-1361.822648493127,-1903.9960820788083,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,19,-1361.822648493127,1903.9960820788083,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,20,-1361.8289320074564,-2004.0287123708772,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,21,-1361.8289320074564,2004.0287123708772,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,22,-9645.842143410644,-50.000454597459949,0
fig8_D_0p05,0.050000000000000003,closed-loop-pole,23,-9645.842143410644,50.000454597459949,0
fig8_D_0p05,0.050000000000000003,return-zero,1,0.021154437103489958,-0.57811329684033597,1
fig8_D_0p05,0.050000000000000003,return-zero,2,0.021154437103489958,0.57811329684033597,1
fig8_D_0p05,0.050000000000000003,return-zero,3,-0.75449242517844106,0,0
fig8_D_0p05,0.050000000000000003,return-zero,4,-4.6251704468072665,-100.64595652761824,0
fig8_D_0p05,0.050000000000000003,return-zero,5,-4.6251704468072665,100.64595652761824,0
fig8_D_0p05,0.050000000000000003,return-zero,6,-4.6266408300547415,-0.70087269297468902,0
fig8_D_0p05,0.050000000000000003,return-zero,7,-4.6266408300547415,0.70087269297468902,0
fig8_D_0p05,0.050000000000000003,return-zero,8,-22.55960295477642,-50.098073004770491,0
fig8_D_0p05,0.050000000000000003,return-zero,9,-22.55960295477642,50.098073004770491,0
fig8_D_0p05,0.050000000000000003,return-zero,10,-243.38877028083164,-49.804466548594178,0
fig8_D_0p05,0.050000000000000003,return-zero,11,-243.38877028083164,49.804466548594178,0
fig8_D_0p05,0.050000000000000003,return-zero,12,-1361.8226484931254,-1903.9960820788085,0
fig8_D_0p05,0.050000000000000003,return-zero,13,-1361.8226484931254,1903.9960820788085,0
fig8_D_0p05,0.050000000000000003,return-zero,14,-1361.828932007458,-2004.0287123708752,0
fig8_D_0p05,0.050000000000000003,return-zero,15,-1361.828932007458,2004.0287123708752,0
fig8_D_0p05,0.050000000000000003,return-zero,16,-9645.8421434106294,-50.000454597455743,0
fig8_D_0p05,0.050000000000000003,return-zero,17,-9645.8421434106294,50.000454597455743,0
fig8_D_0p5,0.5,closed-loop-pole,1,-0.28989136062511572,-0.399601027552282,1
