case_name,frequency_Hz,normalized_separation_margin,normalized_lower_bound,normalized_upper_bound,optimal_rotation_rad,normalized_H_contribution,normalized_G_contribution,normalized_commutator,normalized_eigenvalue_gap,critical_direction_d_magnitude,critical_direction_q_magnitude,critical_direction_q_relative_phase_rad,classification_status,classification_is_certified,direction_resolved,objective_envelope_resolved,attribution_status,overall_numerical_status
stable,0.1,-0.43677920258718,-0.43677920258718,-0.434597583005429,0.872084387455299,-0.180716257310808,-0.256062945276372,0.69113167372698,0.894011956023387,0.445500153142618,0.895281862627577,-1.31302409321843,non-sectorial,1,1,1,resolved,resolved
stable,0.105011563593534,-0.433733813193674,-0.433733813193674,-0.431552767341796,0.866126448093568,-0.182004249213394,-0.25172956398028,0.689566365137859,0.888875003811,0.44329159325086,0.896377467004339,-1.31003755008439,non-sectorial,1,1,1,resolved,resolved
stable,0.110274284883587,-0.430533424384746,-0.430533424384746,-0.428351824317465,0.860241829354623,-0.183164207559175,-0.247369216825572,0.68784539049715,0.883474661718939,0.441125311667256,0.897445518907118,-1.30706016731228,non-sectorial,1,1,1,resolved,resolved
stable,0.115800750797843,-0.427170618800878,-0.427170618800878,-0.424989048606454,0.854418674441312,-0.184195319884389,-0.242975298916489,0.685953842535421,0.877798383686541,0.43899730262395,0.898488379607046,-1.30408576361448,non-sectorial,1,1,1,resolved,resolved
stable,0.121604179065866,-0.4236376355562,-0.4236376355562,-0.421456687455956,0.848645030232231,-0.185096457916427,-0.238541177639774,0.683875507713497,0.871833040086218,0.436903562723879,0.899508352867933,-1.3011078346546,non-sectorial,1,1,1,resolved,resolved
stable,0.127698449832146,-0.419926358505572,-0.419926358505572,-0.417744797402001,0.842908795992092,-0.185866166000712,-0.23406019250486,0.681592777621047,0.865564897112507,0.434840069353357,0.900507697959749,-1.29811950000616,non-sectorial,1,1,1,resolved,resolved
stable,0.13409813885344,-0.41602830484171,-0.41602830484171,-0.413846697187466,0.837197874445599,-0.186502531169143,-0.229525773672567,0.679086560127367,0.858979601015499,0.432802868503377,0.901488589509179,-1.29511358241531,non-sectorial,1,1,1,resolved,resolved
stable,0.140818552359825,-0.411934614180656,-0.411934614180656,-0.409753599737626,0.831499863544026,-0.187003316134881,-0.224931298045775,0.676336191854996,0.852062153766996,0.430787915504384,0.902453196490204,-1.29208237491913,non-sectorial,1,1,1,resolved,resolved
stable,0.147875763662831,-0.407636038326335,-0.407636038326335,-0.405454622308703,0.825802388701979,-0.187365719381312,-0.220270318945023,0.673319353955331,0.844796903568699,0.428791263379126,0.903403593334525,-1.28901783670717,non-sectorial,1,1,1,resolved,resolved
stable,0.155286651598217,-0.403122931943202,-0.403122931943202,-0.400941279856809,0.820092902279408,-0.18758644069532,-0.215536491247882,0.670011993640718,0.83716752591995,0.426808964052094,0.904341809386683,-1.28591142481233,non-sectorial,1,1,1,resolved,resolved
stable,0.163068940895331,-0.398385244410819,-0.398385244410819,-0.396204117739317,0.814358699667295,-0.187661619193857,-0.210723625216962,0.66638825447392,0.829157011393504,0.424837087281198,0.905269821252442,-1.28275406524413,non-sectorial,1,1,1,resolved,resolved
stable,0.171241244569602,-0.393412513187017,-0.393412513187017,-0.391231277626541,0.808586918225788,-0.187586777884912,-0.205825735302104,0.662420419036011,0.820747655978249,0.422871732255692,0.906189548637078,-1.27953610716301,non-sectorial,1,1,1,resolved,resolved
stable,0.179823108439566,-0.388193859068311,-0.388193859068311,-0.386012199746021,0.802764533244289,-0.187356766438274,-0.200837092630037,0.65807886828711,0.811921054983677,0.420909039760666,0.90710284987302,-1.27624726851618,non-sectorial,1,1,1,resolved,resolved
stable,0.188835057874883,-0.382717983809143,-0.382717983809143,-0.380536981001023,0.796878357108199,-0.186965698130007,-0.195752285679136,0.653332062696614,0.802658101528206,0.418945209001362,0.908011515265531,-1.2728765768526,non-sectorial,1,1,1,resolved,resolved
stable,0.198298646887169,-0.376973170647307,-0.376973170647307,-0.374791868277525,0.790914928357932,-0.1864069537606,-0.190566216886707,0.648146551040204,0.792938986875138,0.416976448867967,0.908917290565792,-1.2694122096261,non-sectorial,1,1,1,resolved,resolved
stable,0.208236509681036,-0.370947288383637,-0.370947288383637,-0.368765709995386,0.784860621101539,-0.185673043335674,-0.185274245047963,0.642487013622171,0.782743214066545,0.414999065873048,0.909821837133236,-1.26584149897858,non-sectorial,1,1,1,resolved,resolved
stable,0.218672414788656,-0.364627799782595,-0.364627799782595,-0.362447393116888,0.778701521439505,-0.184755612612791,-0.179872187169803,0.6363163475559,0.772049612137721,0.413009412595686,0.910726756556195,-1.26215073286809,non-sectorial,1,1,1,resolved,resolved
stable,0.229631321917304,-0.358001775199609,-0.358001775199609,-0.355820118372107,0.77242350490935,-0.183645317159223,-0.174356458040386,0.629595802583092,0.760836366488752,0.411003965821956,0.911633555809912,-1.25832510695297,non-sectorial,1,1,1,resolved,resolved
stable,0.241139441645862,-0.351055912504665,-0.351055912504665,-0.34887553872129,0.766012066807813,-0.182331858878187,-0.168724053626478,0.622285176679359,0.749081051599828,0.40897924813834,0.912543683662431,-1.25434843640406,non-sectorial,1,1,1,resolved,resolved
stable,0.253224298113036,-0.343776564563854,-0.343776564563854,-0.341594923587379,0.759452487173639,-0.180803796111704,-0.16297276845215,0.614343081309724,0.736760689877197,0.406931975659524,0.913458464948372,-1.2502031436495,non-sectorial,1,1,1,resolved,resolved
stable,0.265914794847249,-0.336149775766118,-0.336149775766118,-0.333969883612049,0.752729644526287,-0.179048592567863,-0.157101183198255,0.605727286573199,0.723851813028965,0.404858977020631,0.914379138391624,-1.24586989177252,non-sectorial,1,1,1,resolved,resolved
stable,0.279241283895634,-0.328161329347014,-0.328161329347014,-0.325979705893678,0.745828121662274,-0.17705246624123,-0.151108863105784,0.596395156503101,0.710330554293768,0.402757318794817,0.915306802201977,-1.24132745450237,non-sectorial,1,1,1,resolved,resolved
stable,0.293235638417463,-0.31979680757127,-0.31979680757127,-0.31761593794385,0.73873205759392,-0.174800422909985,-0.144996384661285,0.586304184343072,0.69617275228636,0.400624260221293,0.916242436324656,-1.23655228584717,non-sectorial,1,1,1,resolved,resolved
stable,0.307931328915658,-0.311041667198634,-0.311041667198634,-0.308861250697465,0.731425331143702,-0.172276050989027,-0.138765616209606,0.575412636556949,0.681354097125135,0.398457464535036,0.917186812463148,-1.23151838164279,non-sectorial,1,1,1,resolved,resolved
stable,0.323363503288679,-0.301881333081644,-0.301881333081644,-0.299699762531459,0.723891326909571,-0.169461638195187,-0.132419694886456,0.563680312504574,0.665850287940268,0.396254911535013,0.918140536674195,-1.2261966187895,non-sectorial,1,1,1,resolved,resolved
stable,0.339569070894269,-0.292301313238992,-0.292301313238992,-0.29011980556157,0.716113061047977,-0.166338032795675,-0.125963280443317,0.551069423978266,0.649637244770357,0.394015099003281,0.919103966783647,-1.22055439333534,non-sectorial,1,1,1,resolved,resolved
stable,0.356586790826106,-0.282287339325885,-0.282287339325885,-0.280106551128271,0.70807315564181,-0.162884636439623,-0.119402702886262,0.537545595016887,0.632691356663133,0.391737155598556,0.920077171178349,-1.2145549851671,non-sectorial,1,1,1,resolved,resolved
stable,0.374457364614496,-0.271825537096646,-0.271825537096646,-0.269645551744721,0.69975382637648,-0.159079415744583,-0.112746121352063,0.523078977504993,0.614989780849926,0.389420992145031,0.921059873665539,-1.20815678921207,non-sectorial,1,1,1,resolved,resolved
stable,0.393223533572821,-0.26090263224169,-0.26090263224169,-0.258723031432747,0.691136915799816,-0.154898911435715,-0.106003720805975,0.507645471996646,0.596510803629272,0.387067532132182,0.922051368183521,-1.2013124225394,non-sectorial,1,1,1,resolved,resolved
