scr,damping_mathworks_pu_per_hz,damping_team_native_pu_per_pu_frequency,external_vendor_outcome,team_pre_step_local_stability,team_post_step_local_stability,study_outcome,solver_agreement,solver_method,solver_outcome,solver_success,event_name,event_time_s,completed_time_s,sample_count,nfev,njev,nlu,elapsed_wall_time_s,maximum_frequency_deviation_hz,maximum_converter_current_pu,maximum_grid_current_pu,maximum_internal_voltage_pu,active_power_settling_time_s,frequency_settling_time_s,final_frequency_error_pu,final_active_power_error_pu,final_angle_error_rad,final_grid_current_error_pu
5.0,0.6,30.0,Unstable,unstable,unstable,departed_declared_diagnostic_range,True,Radau,departed_declared_diagnostic_range,True,grid_current_limit,1.4704952171640417,1.47,148,5052,15,144,0.5054511000016646,0.8868683681408172,1.984129775995623,1.9941925222836128,1.1717262267386062,,,0.012119994660807982,0.03359881997022851,0.3290965686099586,1.218880500508233
5.0,0.6,30.0,Unstable,unstable,unstable,departed_declared_diagnostic_range,True,LSODA,departed_declared_diagnostic_range,True,grid_current_limit,1.4704953003020749,1.47,148,38982,1517,1517,2.8312965000004624,0.8868683496540128,1.9841287835804036,1.9941915480048018,1.1717260412322226,,,0.012120008390933083,0.03359792183547139,0.32909625971373024,1.2188794600829158
5.0,1.056,52.800000000000004,Unstable,stable,stable,converged_within_horizon,True,Radau,converged_within_horizon,True,,,8.0,801,11226,4,168,1.234195599998202,0.154921986328252,0.9980903699133915,0.9972137336009715,1.0431355688761712,1.82,2.11,1.0089211217958167e-08,-2.8767080428870884e-07,4.59370103622625e-08,1.0035703379976986e-06
5.0,1.056,52.800000000000004,Unstable,stable,stable,converged_within_horizon,True,LSODA,converged_within_horizon,True,,,8.0,801,74491,2862,2862,5.76113119999718,0.15492198705493332,0.9980903367417536,0.9972136967690831,1.0431355827071265,1.82,2.11,9.996766510760389e-09,-2.7111037737004295e-07,4.70723949819174e-08,1.0316174275038542e-06
5.0,2.0,100.0,Stable,stable,stable,converged_within_horizon,True,Radau,converged_within_horizon,True,,,8.0,801,12228,4,152,1.2146944999985863,0.09267033388210622,0.9085659891788146,0.9075479851614906,1.0282568463114212,0.75,0.77,-8.879076825130148e-09,8.611077242370868e-07,1.0205535583285297e-09,4.194008425772736e-06
5.0,2.0,100.0,Stable,stable,stable,converged_within_horizon,True,LSODA,converged_within_horizon,True,,,8.0,801,79751,3052,3052,6.007984899999428,0.09267033522373705,0.908566007073069,0.9075479881697621,1.0282568453002365,0.75,0.77,-8.665009772857684e-09,8.304903582612155e-07,1.002111726933208e-10,4.095869756135531e-06
