variant,state_count,factor_name,factor,tracking_status,real_per_s,imag_per_s,oscillation_frequency_hz,real_shift_from_baseline_per_s,frequency_shift_from_baseline_hz,lcl_group_total,control_state_group_total,voltage_pi_participation,current_pi_participation,active_damping_filter_participation,converter_current_participation,capacitor_voltage_participation,grid_side_filter_current_participation,condition_number,maximum_eigenpair_residual,minimum_right_mac,minimum_left_mac,maximum_normalized_eigenvalue_distance,path_steps_including_rejected_direct_attempts
10_state_omit_rfif,10,baseline,1.0,matched,117.1371464864823,652.5798335638734,103.8613062737768,0.0,0.0,0.8489931108360738,0.15100688916392616,0.14823880244891524,0.002768086715010912,0.0,0.16285482597266665,0.03229900422499322,0.6538392806384139,3.1942018151349503,8.924586422088136e-16,1.0,1.0,0.0,0
10_state_omit_rfif,10,voltage_pi_joint_gain,0.8,matched,133.06472969673928,625.8374690131812,99.60512676556867,15.927583210256984,-4.256179508208132,0.8281877481755664,0.1718122518244336,0.16856680554547374,0.003245446278959869,0.0,0.1842313965879257,0.034694870039207945,0.6092614815484327,3.655984167654881,3.412933830182276e-16,0.9998571094832742,0.9958998503251876,0.04694688090942526,1
10_state_omit_rfif,10,voltage_pi_joint_gain,1.2,matched,103.46040369204002,671.2704082783258,106.8360036288103,-13.676742794442276,2.974697355033489,0.8652727956590655,0.13472720434093458,0.1323068321974603,0.002420372143474251,0.0,0.14589236591997504,0.02997839434201851,0.6894020353970719,2.859998412301801,3.0719260827822784e-16,0.9999207922495003,0.9962372331700414,0.03493179984609572,1
10_state_omit_rfif,10,current_pi_joint_gain,0.8,matched,128.34836251129877,626.6907984225463,99.74093835915481,11.21121602481648,-4.120367914621993,0.8310278328823779,0.1689721671176222,0.16571469138812428,0.003257475729497922,0.0,0.18488314736832465,0.02790026714196698,0.6182444183720863,3.2642138676824013,5.347162644974715e-16,0.9997015162067111,0.9883341661162561,0.04255187145350758,1
10_state_omit_rfif,10,current_pi_joint_gain,1.2,matched,107.90298119530725,671.642826316204,106.8952758004352,-9.234165291175046,3.0339695266583924,0.8628113375520098,0.13718866244799005,0.1347763792988611,0.002412283149128941,0.0,0.14562776877953026,0.035994418455736414,0.6811891503167431,3.1772045730421503,3.7399574103281293e-16,0.9998433473378573,0.9930881667909633,0.03194791927372486,1
10_state_omit_rfif,10,converter_side_filter_reactance,0.8,matched,105.404676182495,675.3097143985771,107.47887916450962,-11.732470303987299,3.6175728907328195,0.8658041998106641,0.1341958001893359,0.1318546546256791,0.002341145563656797,0.0,0.14187840550448783,0.03678219394842189,0.6871436003577545,3.3901998763131034,2.031883957029229e-16,0.9997726536036671,0.9997496590335518,0.038580529319678,1
10_state_omit_rfif,10,converter_side_filter_reactance,1.2,matched,126.70991614903603,631.9054085920504,100.57086934392866,9.572769662553739,-3.2904369298481475,0.8344328113578614,0.1655671886421385,0.16240753794678164,0.0031596506953568597,0.0,0.1808190746965373,0.028725217835914946,0.6248885188254092,3.0311970730735593,4.2629767783171647e-16,0.9998069507244809,0.9997805436949991,0.03436316353838698,1
10_state_omit_rfif,10,filter_capacitor_susceptance,0.8,matched,112.42283581852018,652.379665033269,103.82944846267968,-4.71431066796211,-0.03185781109713175,0.8515528842401443,0.14844711575985567,0.14566830552815355,0.0027788102317021146,0.0,0.16324027395075735,0.025659502155724996,0.662653108133662,3.181652838839725,5.660145778057494e-16,0.9999906360719271,0.9995707501674179,0.007116879260793355,1
10_state_omit_rfif,10,filter_capacitor_susceptance,1.2,matched,121.92029397500038,652.5331064935598,103.85386942956019,4.7831474885180825,-0.007436844216617799,0.8463011506713409,0.1536988493286589,0.15094321221237483,0.0027556371162840753,0.0,0.16231720721496362,0.038972223004045445,0.6450117204523319,3.204005393889644,6.454977683141711e-16,0.9999903666317242,0.9995696316122432,0.0072146416886798275,1
10_state_omit_rfif,10,grid_side_filter_reactance,0.8,matched,149.52096300686094,690.9215302195801,109.96357682306251,32.383816520378645,6.102270549285705,0.8266470587877446,0.17335294121225528,0.1702796027505541,0.0030733384617011874,0.0,0.19277154777286387,0.03589512728790522,0.5979803837269755,3.4673841743836156,3.9789485772416035e-16,0.9998905893849513,0.9967640373350366,0.07569668821714849,1
10_state_omit_rfif,10,grid_side_filter_reactance,1.2,matched,94.07154936293384,621.652681789683,98.93909719316112,-23.065597123548457,-4.922209080615684,0.8670040677783281,0.1329959322216719,0.13048141399736068,0.0025145182243112097,0.0,0.14029796087462132,0.029001978551907018,0.6977041283517997,2.9634169047001238,4.631020309173956e-16,0.9999361291580595,0.9970742882276868,0.05819105369977952,1
10_state_include_rfif,10,baseline,1.0,matched,119.21536174509264,654.0902744153199,104.10170040153244,0.0,0.0,0.8490658153494404,0.15093418465055966,0.14818334528292026,0.00275083936763939,0.0,0.1629459428528167,0.03249599092982232,0.6536238815668014,3.1897497787920766,4.0206437939432987e-16,1.0,1.0,0.0,0
10_state_include_rfif,10,voltage_pi_joint_gain,0.8,matched,135.503011954606,627.4069144213904,99.85491176019804,16.28765020951336,-4.246788641334399,0.8284252094434543,0.1715747905565456,0.16835313399834595,0.0032216565581996443,0.0,0.1843590639194868,0.03496660172228597,0.6090995438016815,3.6491684128905417,4.553870713762739e-16,0.9998557738055237,0.9958985087438945,0.04701945997682359,1
10_state_include_rfif,10,voltage_pi_joint_gain,1.2,matched,105.25553735601858,672.7069838533461,107.06464173269985,-13.959824389074058,2.9629413311674093,0.8652484769753384,0.1347515230246616,0.13234424779682175,0.0024072752278398416,0.0,0.14596135374293506,0.03012512956121946,0.6891619936711838,2.857010411873805,6.683016502885729e-16,0.999919991193662,0.99623738855228,0.03499844033778736,1
10_state_include_rfif,10,current_pi_joint_gain,0.8,matched,130.73559587686916,628.3399500645622,100.00340899488977,11.520234131776519,-4.098291406642678,0.8313277479533924,0.16867225204660763,0.16543745601369025,0.003234796032917385,0.0,0.18506526899694714,0.028118357374945398,0.6181441215814998,3.2591572289873287,6.163231552184603e-16,0.9997039395272351,0.9883400520418851,0.042429379327456385,1
