power_port,active_power_time_constant_s,spectral_abscissa_per_s,stable_by_eigenvalues,low_mode_real_per_s,low_mode_frequency_hz,low_mode_tracking_status,wide_mode_real_per_s,wide_mode_frequency_hz,wide_mode_tracking_status,state_matrix_max_abs_difference_per_s
filter_capacitor,0.01,195.10666103061493,False,-2.554722138795438,3.365693303569127,anchor,195.10666103061493,111.80113012079826,anchor,6.723600449731748e-07
filter_capacitor,0.025,195.12470946715507,False,-0.13106774734034043,3.1134879599815237,matched,195.12470946715507,111.80261606737827,matched,6.723600449731748e-07
filter_capacitor,0.05,195.13124056456945,False,1.40519388101417,2.7012944158217063,matched,195.13124056456945,111.80302753803203,matched,6.723600449731748e-07
filter_capacitor,0.1,195.13459433748054,False,2.04582527907214,2.2127701264204473,matched,195.13459433748054,111.80321520091408,matched,6.723600449731748e-07
filter_capacitor,0.2,195.13629226209173,False,1.9955600437889238,1.7526503529149091,matched,195.13629226209173,111.8033042936075,matched,6.723600449731748e-07
pcc,0.01,200.00469864955582,False,-2.487681199915447,3.3840317416133945,anchor,200.00469864955582,111.57945661016174,anchor,4.017816763735027e-07
pcc,0.025,200.02302188782085,False,-0.062525743393674,3.126809762760954,matched,200.02302188782085,111.58056810576183,matched,4.017816763735027e-07
pcc,0.05,200.0295697860717,False,1.4617440390271241,2.7111957507714557,matched,200.0295697860717,111.58084978185087,matched,4.017816763735027e-07
pcc,0.1,200.0329168572161,False,2.0885257284484755,2.2205202961921366,matched,200.0329168572161,111.58097183474861,matched,4.017816763735027e-07
pcc,0.2,200.0346075633034,False,2.0268972378426193,1.758981575122932,matched,200.0346075633034,111.58102796833957,matched,4.017816763735027e-07
