modulation_time_constant_s,dimensionless_ideal_wide_mode_delay,spectral_abscissa_per_s,stable_by_eigenvalues,low_mode_real_per_s,low_mode_frequency_hz,low_mode_tracking_status,wide_mode_real_per_s,wide_mode_frequency_hz,wide_mode_tracking_status,off_equilibrium_rhs_difference_inf,state_matrix_max_abs_difference_per_s
0.0001,0.07010839227929118,215.1882589993425,False,2.088521042218736,2.220516272710324,anchor,215.1882589993425,110.48487950073913,anchor,1.7236212457305555e-13,3.3154483830209387e-07
0.00025,0.17527098069822794,234.90208256603916,False,2.088514013201909,2.220510237360301,matched,234.90208256603916,108.2874974564125,matched,1.7236212457305555e-13,3.3154483830209387e-07
0.0005,0.3505419613964559,258.3919401719886,False,2.0885022990485416,2.2205001781040146,matched,258.3919401719886,103.92169167400384,matched,1.7236212457305555e-13,3.3154483830209387e-07
0.001,0.7010839227929118,279.2557471657848,False,2.088478874022634,2.2204800583180764,matched,279.2557471657848,95.57691129915798,matched,1.7236212457305555e-13,3.3154483830209387e-07
0.002,1.4021678455858235,280.7241465901011,False,2.0884320370973777,2.2204398136527477,matched,280.7241465901011,84.03091977647787,matched,1.7236212457305555e-13,3.3154483830209387e-07
0.005,3.5054196139645586,245.83528354068653,False,2.088291631427051,2.220319038910435,matched,245.83528354068653,68.35472467301251,matched,1.7236212457305555e-13,3.3154483830209387e-07
