modulation_time_constant_s,spectral_abscissa_per_s,stable_by_eigenvalues,equilibrium_residual_inf,off_equilibrium_rhs_difference_inf,state_matrix_max_abs_difference_per_s,local_dq_vs_physical_matrix_difference_per_s
0.0001,206.56918156503144,False,7.709388682997087e-13,8.602007994795713e-13,1.4866473065922037e-06,381.4986113760965
0.00025,215.1112042011095,False,2.5224267119483557e-13,1.9120816041606759e-13,4.629327108318648e-07,381.4986114892838
0.0005,226.04807624692617,False,3.268496584496461e-13,2.69340105774063e-13,3.335491297021141e-07,381.49861148911725
0.001,238.21425280240777,False,2.7711166694643907e-13,1.9165224962591765e-13,3.2197518945009673e-07,381.49861146061227
0.002,242.62133908065317,False,4.014566457044566e-13,1.8660073486387319e-13,3.3273020501614073e-07,381.49861147478146
0.005,223.16195801784372,False,2.984279490192421e-13,2.7622348852673895e-13,3.3473458322975296e-07,381.4986115060204
